,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Temp,Sp Cond,pH,Turb+,ODOSat,ODO,Bat,ADCP Temp,Press,Bat,Level,Hs,Ts,Vel Mag
m/d/y,F,µS/cm,,NTU+,%,mg/L,V,F,psi,V,ft,ft,sec,ft/s
6/1/2009 10:00,62.65,9,7.84,-75.4,1.1,95.63,13.2,,,,,,,
6/1/2009 10:30,60.7,290,8.35,-102.43,4.2,99.8,13.3,,,,,,,
6/1/2009 11:00,60.74,290,8.38,-104.27,4.4,100.3,13.3,,,,,,,
6/1/2009 11:30,60.72,290,8.39,-104.67,4.2,100.3,13.3,,,,,,,
6/1/2009 12:00,60.7,290,8.4,-104.93,4.4,100.3,13.4,,,,,,,
6/1/2009 12:30,60.76,290,8.4,-105.3,4.5,100.33,13.4,,,,,,,
6/1/2009 13:00,60.76,290,8.41,-105.63,4.4,100.6,13.4,,,,,,,
6/1/2009 13:30,60.85,290,8.43,-106.57,4.6,100.83,13.5,,,,,,,
6/1/2009 14:00,60.85,290,8.42,-106.17,4.8,100.87,13.4,,,,,,,
6/1/2009 14:30,60.96,291,8.43,-107,5,101.1,13.5,,,,,,,
6/1/2009 15:00,61.14,291,8.44,-107.43,5.5,100.97,13.5,,,,,,,
6/1/2009 15:30,61.07,291,8.44,-107.53,5.3,101.4,13.5,,,,,,,
6/1/2009 16:00,61.04,291,8.45,-107.53,5.1,101.7,13.4,,,,,,,
6/1/2009 16:30,61.11,291,8.44,-107.53,5.2,101.3,13.4,,,,,,,
6/1/2009 17:00,61.16,291,8.45,-107.63,4.7,101.1,13.4,,,,,,,
6/1/2009 17:30,61.05,291,8.44,-107.27,4.7,101.13,13.3,,,,,,,
6/1/2009 18:00,61.04,291,8.44,-107.27,4.7,101.1,13.3,,,,,,,
6/1/2009 18:30,60.92,291,8.46,-108.57,4.3,102.33,13.3,,,,,,,
6/1/2009 19:00,60.92,291,8.46,-108.5,4.4,101.93,13.3,,,,,,,
6/1/2009 19:30,60.86,291,8.46,-108.63,4.5,102.07,13.3,,,,,,,
6/1/2009 20:00,60.84,291,8.46,-108.4,4.3,101.6,13.3,,,,,,,
6/1/2009 20:30,60.77,291,8.44,-107.27,3.9,100.87,13.3,,,,,,,
6/1/2009 21:00,60.8,291,8.42,-106.07,3.8,100.17,13.3,,,,,,,
6/1/2009 21:30,60.76,291,8.41,-105.73,3.3,100,13.3,,,,,,,
6/1/2009 22:00,60.73,291,8.42,-106.53,3.2,100.63,13.3,,,,,,,
6/1/2009 22:30,60.67,290,8.44,-107.33,3.3,101.13,13.2,,,,,,,
6/1/2009 23:00,60.59,290,8.47,-108.63,3.1,102.33,13.2,,,,,,,
6/1/2009 23:30,60.57,289,8.47,-108.8,3,102.27,13.2,,,,,,,
6/2/2009 0:00,60.57,290,8.46,-108,2.9,101.63,13.2,,,,,,,
6/2/2009 0:30,60.52,290,8.42,-106.33,2.7,100.7,13.2,,,,,,,
