times,Turb+,Units
2008-05-20 06:00:00,,NTU+
2008-05-20 06:30:00,2.73,NTU+
2008-05-20 07:00:00,1.57,NTU+
2008-05-20 07:30:00,67.4,NTU+
2008-05-20 08:00:00,25.9,NTU+
2008-05-20 08:30:00,22.0,NTU+
2008-05-20 09:00:00,19.6,NTU+
2008-05-20 09:30:00,19.07,NTU+
2008-05-20 10:00:00,18.07,NTU+
2008-05-20 10:30:00,18.77,NTU+
2008-05-20 11:00:00,19.0,NTU+
2008-05-20 11:30:00,22.33,NTU+
2008-05-20 12:00:00,27.47,NTU+
2008-05-20 12:30:00,28.43,NTU+
2008-05-20 13:00:00,32.07,NTU+
2008-05-20 13:30:00,36.63,NTU+
2008-05-20 14:00:00,36.93,NTU+
2008-05-20 14:30:00,39.1,NTU+
2008-05-20 15:00:00,41.93,NTU+
2008-05-20 15:30:00,43.53,NTU+
2008-05-20 16:00:00,42.13,NTU+
2008-05-20 16:30:00,41.67,NTU+
2008-05-20 17:00:00,41.87,NTU+
2008-05-20 17:30:00,38.3,NTU+
2008-05-20 18:00:00,39.7,NTU+
2008-05-20 18:30:00,39.23,NTU+
2008-05-20 19:00:00,38.03,NTU+
2008-05-20 19:30:00,41.3,NTU+
2008-05-20 20:00:00,47.97,NTU+
2008-05-20 20:30:00,47.43,NTU+
2008-05-20 21:00:00,43.53,NTU+
2008-05-20 21:30:00,39.2,NTU+
2008-05-20 22:00:00,40.87,NTU+
2008-05-20 22:30:00,36.87,NTU+
2008-05-20 23:00:00,30.87,NTU+
2008-05-20 23:30:00,23.8,NTU+
2008-05-21 00:00:00,34.87,NTU+
2008-05-21 00:30:00,32.67,NTU+
2008-05-21 01:00:00,25.37,NTU+
2008-05-21 01:30:00,30.3,NTU+
2008-05-21 02:00:00,31.6,NTU+
2008-05-21 02:30:00,33.5,NTU+
2008-05-21 03:00:00,32.8,NTU+
2008-05-21 03:30:00,30.9,NTU+
2008-05-21 04:00:00,33.27,NTU+
2008-05-21 04:30:00,28.2,NTU+
2008-05-21 05:00:00,26.77,NTU+
2008-05-21 05:30:00,21.33,NTU+
2008-05-21 06:00:00,19.2,NTU+
2008-05-21 06:30:00,18.1,NTU+
2008-05-21 07:00:00,20.67,NTU+
2008-05-21 07:30:00,21.37,NTU+
2008-05-21 08:00:00,21.13,NTU+
2008-05-21 08:30:00,21.63,NTU+
2008-05-21 09:00:00,20.03,NTU+
2008-05-21 09:30:00,19.2,NTU+
2008-05-21 10:00:00,17.83,NTU+
2008-05-21 10:30:00,21.6,NTU+
2008-05-21 11:00:00,22.1,NTU+
2008-05-21 11:30:00,22.43,NTU+
2008-05-21 12:00:00,23.67,NTU+
2008-05-21 12:30:00,24.8,NTU+
2008-05-21 13:00:00,27.9,NTU+
2008-05-21 13:30:00,28.5,NTU+
2008-05-21 14:00:00,30.5,NTU+
2008-05-21 14:30:00,31.77,NTU+
2008-05-21 15:00:00,33.23,NTU+
2008-05-21 15:30:00,35.47,NTU+
2008-05-21 16:00:00,40.13,NTU+
2008-05-21 16:30:00,41.47,NTU+
2008-05-21 17:00:00,44.53,NTU+
2008-05-21 17:30:00,48.77,NTU+
2008-05-21 18:00:00,52.4,NTU+
2008-05-21 18:30:00,52.8,NTU+
2008-05-21 19:00:00,56.07,NTU+
2008-05-21 19:30:00,59.6,NTU+
2008-05-21 20:00:00,62.43,NTU+
2008-05-21 20:30:00,64.53,NTU+
2008-05-21 21:00:00,65.43,NTU+
2008-05-21 21:30:00,62.8,NTU+
2008-05-21 22:00:00,65.3,NTU+
2008-05-21 22:30:00,61.87,NTU+
2008-05-21 23:00:00,52.2,NTU+
2008-05-21 23:30:00,49.4,NTU+
2008-05-22 00:00:00,46.23,NTU+
2008-05-22 00:30:00,47.63,NTU+
2008-05-22 01:00:00,41.8,NTU+
2008-05-22 01:30:00,41.3,NTU+
2008-05-22 02:00:00,44.2,NTU+
2008-05-22 02:30:00,45.13,NTU+
2008-05-22 03:00:00,46.1,NTU+
2008-05-22 03:30:00,43.2,NTU+
2008-05-22 04:00:00,45.07,NTU+
2008-05-22 04:30:00,41.93,NTU+
2008-05-22 05:00:00,42.2,NTU+
2008-05-22 05:30:00,42.93,NTU+
2008-05-22 06:00:00,43.53,NTU+
2008-05-22 06:30:00,44.77,NTU+
