times,pH,Units
2008-05-20 06:00:00,,
2008-05-20 06:30:00,4.24,
2008-05-20 07:00:00,7.09,
2008-05-20 07:30:00,7.92,
2008-05-20 08:00:00,8.29,
2008-05-20 08:30:00,8.28,
2008-05-20 09:00:00,8.28,
2008-05-20 09:30:00,8.28,
2008-05-20 10:00:00,8.29,
2008-05-20 10:30:00,8.29,
2008-05-20 11:00:00,8.29,
2008-05-20 11:30:00,8.3,
2008-05-20 12:00:00,8.3,
2008-05-20 12:30:00,8.3,
2008-05-20 13:00:00,8.31,
2008-05-20 13:30:00,8.32,
2008-05-20 14:00:00,8.33,
2008-05-20 14:30:00,8.34,
2008-05-20 15:00:00,8.34,
2008-05-20 15:30:00,8.34,
2008-05-20 16:00:00,8.34,
2008-05-20 16:30:00,8.33,
2008-05-20 17:00:00,8.33,
2008-05-20 17:30:00,8.32,
2008-05-20 18:00:00,8.32,
2008-05-20 18:30:00,8.31,
2008-05-20 19:00:00,8.32,
2008-05-20 19:30:00,8.32,
2008-05-20 20:00:00,8.3,
2008-05-20 20:30:00,8.31,
2008-05-20 21:00:00,8.3,
2008-05-20 21:30:00,8.3,
2008-05-20 22:00:00,8.3,
2008-05-20 22:30:00,8.3,
2008-05-20 23:00:00,8.27,
2008-05-20 23:30:00,8.23,
2008-05-21 00:00:00,8.29,
2008-05-21 00:30:00,8.26,
2008-05-21 01:00:00,8.25,
2008-05-21 01:30:00,8.3,
2008-05-21 02:00:00,8.31,
2008-05-21 02:30:00,8.29,
2008-05-21 03:00:00,8.29,
2008-05-21 03:30:00,8.27,
2008-05-21 04:00:00,8.26,
2008-05-21 04:30:00,8.25,
2008-05-21 05:00:00,8.25,
2008-05-21 05:30:00,8.27,
2008-05-21 06:00:00,8.27,
2008-05-21 06:30:00,8.28,
2008-05-21 07:00:00,8.27,
2008-05-21 07:30:00,8.27,
2008-05-21 08:00:00,8.27,
2008-05-21 08:30:00,8.27,
2008-05-21 09:00:00,8.27,
2008-05-21 09:30:00,8.28,
2008-05-21 10:00:00,8.27,
2008-05-21 10:30:00,8.26,
2008-05-21 11:00:00,8.28,
2008-05-21 11:30:00,8.28,
2008-05-21 12:00:00,8.29,
2008-05-21 12:30:00,8.3,
2008-05-21 13:00:00,8.31,
2008-05-21 13:30:00,8.31,
2008-05-21 14:00:00,8.31,
2008-05-21 14:30:00,8.31,
2008-05-21 15:00:00,8.32,
2008-05-21 15:30:00,8.32,
2008-05-21 16:00:00,8.33,
2008-05-21 16:30:00,8.33,
2008-05-21 17:00:00,8.34,
2008-05-21 17:30:00,8.34,
2008-05-21 18:00:00,8.33,
2008-05-21 18:30:00,8.33,
2008-05-21 19:00:00,8.33,
2008-05-21 19:30:00,8.33,
2008-05-21 20:00:00,8.34,
2008-05-21 20:30:00,8.33,
2008-05-21 21:00:00,8.32,
2008-05-21 21:30:00,8.32,
2008-05-21 22:00:00,8.33,
2008-05-21 22:30:00,8.31,
2008-05-21 23:00:00,8.29,
2008-05-21 23:30:00,8.28,
2008-05-22 00:00:00,8.28,
2008-05-22 00:30:00,8.29,
2008-05-22 01:00:00,8.27,
2008-05-22 01:30:00,8.27,
2008-05-22 02:00:00,8.28,
2008-05-22 02:30:00,8.29,
2008-05-22 03:00:00,8.3,
2008-05-22 03:30:00,8.29,
2008-05-22 04:00:00,8.3,
2008-05-22 04:30:00,8.3,
2008-05-22 05:00:00,8.3,
2008-05-22 05:30:00,8.3,
2008-05-22 06:00:00,8.31,
2008-05-22 06:30:00,8.31,
2008-05-22 07:00:00,8.31,
2008-05-22 07:30:00,8.31,
2008-05-22 08:00:00,8.32,
2008-05-22 08:30:00,8.32,
2008-05-22 09:00:00,8.32,
2008-05-22 09:30:00,8.33,
2008-05-22 10:00:00,8.33,
2008-05-22 10:30:00,8.33,
2008-05-22 11:00:00,8.33,
2008-05-22 11:30:00,8.34,
2008-05-22 12:00:00,8.34,
2008-05-22 12:30:00,8.35,
2008-05-22 13:00:00,8.34,
2008-05-22 13:30:00,8.34,
2008-05-22 14:00:00,8.35,
2008-05-22 14:30:00,8.35,
2008-05-22 15:00:00,8.35,
2008-05-22 15:30:00,8.35,
2008-05-22 16:00:00,8.35,
2008-05-22 16:30:00,8.34,
2008-05-22 17:00:00,8.34,
2008-05-22 17:30:00,8.34,
2008-05-22 18:00:00,8.33,
2008-05-22 18:30:00,8.33,
2008-05-22 19:00:00,8.34,
2008-05-22 19:30:00,8.33,
2008-05-22 20:00:00,8.33,
2008-05-22 20:30:00,8.33,
2008-05-22 21:00:00,8.33,
2008-05-22 21:30:00,8.33,
2008-05-22 22:00:00,8.32,
2008-05-22 22:30:00,8.31,
2008-05-22 23:00:00,8.31,
2008-05-22 23:30:00,8.32,
2008-05-23 00:00:00,8.31,
2008-05-23 00:30:00,8.31,
2008-05-23 01:00:00,8.32,
2008-05-23 01:30:00,8.31,
2008-05-23 02:00:00,8.3,
2008-05-23 02:30:00,8.31,
2008-05-23 03:00:00,8.3,
2008-05-23 03:30:00,8.28,
2008-05-23 04:00:00,8.28,
