times,Units,value_mean,value_std,parameter,location
2016-05-03,mg/L,12.0328125,0.2124516762602683,Dissolved_Oxygen,Surface_Data
2016-05-04,mg/L,11.921458333333334,0.3808651046164881,Dissolved_Oxygen,Surface_Data
2016-05-05,mg/L,11.898645833333331,0.2033515627336276,Dissolved_Oxygen,Surface_Data
2016-05-06,mg/L,11.7678125,0.2641260598399129,Dissolved_Oxygen,Surface_Data
2016-05-07,mg/L,12.286770833333334,0.2589931641888433,Dissolved_Oxygen,Surface_Data
2016-05-08,mg/L,11.986458333333331,0.5930277226987998,Dissolved_Oxygen,Surface_Data
2016-05-09,mg/L,12.175520833333334,0.3895809955014597,Dissolved_Oxygen,Surface_Data
2016-05-10,mg/L,12.4459375,0.2253625259497597,Dissolved_Oxygen,Surface_Data
2016-05-11,mg/L,12.132954545454544,0.2719133449704899,Dissolved_Oxygen,Surface_Data
2016-05-12,mg/L,12.330138888888888,0.4586091570932572,Dissolved_Oxygen,Surface_Data
2016-05-13,mg/L,11.90972222222222,0.5103601223668277,Dissolved_Oxygen,Surface_Data
2016-05-14,mg/L,10.994722222222222,0.2150420698597504,Dissolved_Oxygen,Surface_Data
2016-05-15,mg/L,10.68777777777778,0.1936511949136266,Dissolved_Oxygen,Surface_Data
2016-05-16,mg/L,10.854305555555555,0.2033340032545818,Dissolved_Oxygen,Surface_Data
2016-05-17,mg/L,11.082638888888887,0.3045583757596106,Dissolved_Oxygen,Surface_Data
2016-05-18,mg/L,11.78138888888889,0.2193547945472645,Dissolved_Oxygen,Surface_Data
2016-05-19,mg/L,12.02625,0.4279424281351327,Dissolved_Oxygen,Surface_Data
2016-05-20,mg/L,12.69875,0.2616332175841381,Dissolved_Oxygen,Surface_Data
2016-05-21,mg/L,12.627222222222224,0.2931767806380729,Dissolved_Oxygen,Surface_Data
2016-05-22,mg/L,12.547916666666666,0.3007070644157273,Dissolved_Oxygen,Surface_Data
2016-05-23,mg/L,12.289166666666668,0.4046594837849788,Dissolved_Oxygen,Surface_Data
2016-05-24,mg/L,12.399444444444445,0.2717481801042738,Dissolved_Oxygen,Surface_Data
2016-05-25,mg/L,12.007083333333334,0.2876774073836374,Dissolved_Oxygen,Surface_Data
2016-05-26,mg/L,11.559166666666668,0.1883089834307682,Dissolved_Oxygen,Surface_Data
2016-05-27,mg/L,11.146805555555554,0.2594198876470802,Dissolved_Oxygen,Surface_Data
2016-05-28,mg/L,11.04625,0.350246650230309,Dissolved_Oxygen,Surface_Data
2016-05-29,mg/L,10.60152777777778,0.1915193280627027,Dissolved_Oxygen,Surface_Data
2016-05-30,mg/L,10.378888888888888,0.2799447442892144,Dissolved_Oxygen,Surface_Data
