times,Units,parameter,value
2008-05-20 06:00:00,V,Bat,12.9
2008-05-20 06:30:00,NTU+,Turb+,2.73
2008-05-20 06:30:00,mg/L,Dissolved_Oxygen,10.04
2008-05-20 06:30:00,V,Bat,13.0
2008-05-20 06:30:00,%,ODOSat,95.6
2008-05-20 06:30:00,ÂµS/cm,Sp Cond,58.0
2008-05-20 06:30:00,F,Water_Temperature,55.76
2008-05-20 07:00:00,NTU+,Turb+,1.57
2008-05-20 07:00:00,V,Bat,13.5
2008-05-20 07:00:00,%,ODOSat,94.7
2008-05-20 07:00:00,mg/L,Dissolved_Oxygen,10.56
2008-05-20 07:00:00,ÂµS/cm,Sp Cond,0.0
2008-05-20 07:00:00,F,Water_Temperature,51.04
2008-05-20 07:30:00,%,ODOSat,94.1
2008-05-20 07:30:00,V,Bat,14.0
2008-05-20 07:30:00,F,Water_Temperature,51.93
2008-05-20 07:30:00,mg/L,Dissolved_Oxygen,10.35
2008-05-20 07:30:00,ÂµS/cm,Sp Cond,196.0
2008-05-20 07:30:00,NTU+,Turb+,67.4
2008-05-20 08:00:00,NTU+,Turb+,25.9
2008-05-20 08:00:00,V,Bat,14.2
2008-05-20 08:00:00,F,Water_Temperature,52.56
2008-05-20 08:00:00,mg/L,Dissolved_Oxygen,10.28
2008-05-20 08:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-20 08:00:00,%,ODOSat,94.2
2008-05-20 08:30:00,NTU+,Turb+,22.0
2008-05-20 08:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 08:30:00,%,ODOSat,94.5
2008-05-20 08:30:00,V,Bat,14.1
2008-05-20 08:30:00,mg/L,Dissolved_Oxygen,10.26
2008-05-20 08:30:00,F,Water_Temperature,52.97
2008-05-20 09:00:00,F,Water_Temperature,53.23
2008-05-20 09:00:00,V,Bat,14.2
2008-05-20 09:00:00,ÂµS/cm,Sp Cond,291.0
2008-05-20 09:00:00,mg/L,Dissolved_Oxygen,10.25
2008-05-20 09:00:00,NTU+,Turb+,19.6
2008-05-20 09:00:00,%,ODOSat,94.7
2008-05-20 09:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 09:30:00,V,Bat,14.4
2008-05-20 09:30:00,F,Water_Temperature,53.56
2008-05-20 09:30:00,%,ODOSat,95.1
2008-05-20 09:30:00,NTU+,Turb+,19.07
2008-05-20 09:30:00,mg/L,Dissolved_Oxygen,10.25
2008-05-20 10:00:00,%,ODOSat,96.1
2008-05-20 10:00:00,NTU+,Turb+,18.07
2008-05-20 10:00:00,F,Water_Temperature,54.23
2008-05-20 10:00:00,V,Bat,14.5
2008-05-20 10:00:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 10:00:00,mg/L,Dissolved_Oxygen,10.26
2008-05-20 10:30:00,%,ODOSat,96.6
2008-05-20 10:30:00,V,Bat,14.4
2008-05-20 10:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 10:30:00,mg/L,Dissolved_Oxygen,10.26
2008-05-20 10:30:00,NTU+,Turb+,18.77
2008-05-20 10:30:00,F,Water_Temperature,54.73
2008-05-20 11:00:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 11:00:00,NTU+,Turb+,19.0
2008-05-20 11:00:00,mg/L,Dissolved_Oxygen,10.28
2008-05-20 11:00:00,V,Bat,14.4
2008-05-20 11:00:00,%,ODOSat,96.8
2008-05-20 11:00:00,F,Water_Temperature,54.78
2008-05-20 11:30:00,F,Water_Temperature,55.35
2008-05-20 11:30:00,mg/L,Dissolved_Oxygen,10.26
2008-05-20 11:30:00,V,Bat,14.4
2008-05-20 11:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 11:30:00,NTU+,Turb+,22.33
2008-05-20 11:30:00,%,ODOSat,97.4
2008-05-20 12:00:00,%,ODOSat,97.8
2008-05-20 12:00:00,V,Bat,14.4
2008-05-20 12:00:00,F,Water_Temperature,55.76
2008-05-20 12:00:00,mg/L,Dissolved_Oxygen,10.24
2008-05-20 12:00:00,NTU+,Turb+,27.47
2008-05-20 12:00:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 12:30:00,NTU+,Turb+,28.43
2008-05-20 12:30:00,F,Water_Temperature,56.21
2008-05-20 12:30:00,mg/L,Dissolved_Oxygen,10.21
2008-05-20 12:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 12:30:00,V,Bat,14.5
2008-05-20 12:30:00,%,ODOSat,97.9
2008-05-20 13:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-20 13:00:00,NTU+,Turb+,32.07
2008-05-20 13:00:00,V,Bat,14.6
2008-05-20 13:00:00,%,ODOSat,97.8
2008-05-20 13:00:00,mg/L,Dissolved_Oxygen,10.13
2008-05-20 13:00:00,F,Water_Temperature,56.72
2008-05-20 13:30:00,V,Bat,14.5
2008-05-20 13:30:00,NTU+,Turb+,36.63
2008-05-20 13:30:00,%,ODOSat,97.5
2008-05-20 13:30:00,F,Water_Temperature,56.91
2008-05-20 13:30:00,mg/L,Dissolved_Oxygen,10.07
2008-05-20 13:30:00,ÂµS/cm,Sp Cond,293.0
2008-05-20 14:00:00,V,Bat,14.5
2008-05-20 14:00:00,F,Water_Temperature,56.86
2008-05-20 14:00:00,NTU+,Turb+,36.93
2008-05-20 14:00:00,mg/L,Dissolved_Oxygen,10.02
2008-05-20 14:00:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 14:00:00,%,ODOSat,96.9
2008-05-20 14:30:00,%,ODOSat,96.5
2008-05-20 14:30:00,F,Water_Temperature,56.83
2008-05-20 14:30:00,mg/L,Dissolved_Oxygen,9.98
2008-05-20 14:30:00,NTU+,Turb+,39.1
