parameter,Units,times,value_mean,value_std
Bat,V,2008-05-20 06:00:00,12.983333333333334,0.07527726527090821
Bat,V,2008-05-20 07:00:00,13.733333333333334,0.3669695718539435
Bat,V,2008-05-20 08:00:00,14.166666666666666,0.18618986725025255
Bat,V,2008-05-20 09:00:00,14.316666666666668,0.16020819787597218
Bat,V,2008-05-20 10:00:00,14.416666666666666,0.11690451944500059
Bat,V,2008-05-20 11:00:00,14.4,0.08944271909999127
Bat,V,2008-05-20 12:00:00,14.433333333333332,0.08164965809277216
Bat,V,2008-05-20 13:00:00,14.549999999999999,0.08366600265340754
Bat,V,2008-05-20 14:00:00,14.483333333333334,0.11690451944500087
Bat,V,2008-05-20 15:00:00,14.383333333333333,0.1471960144387969
Bat,V,2008-05-20 16:00:00,13.799999999999999,0.3521363372331796
Bat,V,2008-05-20 17:00:00,13.299999999999999,0.08944271909999232
Bat,V,2008-05-20 18:00:00,13.183333333333332,0.04082482904638614
Bat,V,2008-05-20 19:00:00,13.149999999999999,0.054772255750516495
Bat,V,2008-05-20 20:00:00,13.116666666666667,0.04082482904638585
Bat,V,2008-05-20 21:00:00,13.1,0.0
Bat,V,2008-05-20 22:00:00,13.1,0.0
Bat,V,2008-05-20 23:00:00,13.1,0.0
Bat,V,2008-05-21 00:00:00,13.083333333333334,0.04082482904638614
Bat,V,2008-05-21 01:00:00,13.083333333333334,0.04082482904638585
Bat,V,2008-05-21 02:00:00,13.049999999999999,0.05477225575051616
Bat,V,2008-05-21 03:00:00,13.049999999999999,0.05477225575051595
Bat,V,2008-05-21 04:00:00,13.083333333333334,0.04082482904638585
Bat,V,2008-05-21 05:00:00,13.1,0.0
Bat,V,2008-05-21 06:00:00,13.133333333333333,0.051639777949432156
Bat,V,2008-05-21 07:00:00,13.416666666666666,0.13291601358251187
Bat,V,2008-05-21 08:00:00,14.533333333333333,0.32041639575194353
Bat,V,2008-05-21 09:00:00,14.6,0.08944271909999112
Bat,V,2008-05-21 10:00:00,14.533333333333333,0.10327955589886395
Bat,V,2008-05-21 11:00:00,14.533333333333333,0.1505545305418158
Bat,V,2008-05-21 12:00:00,14.4,0.282842712474618
Bat,V,2008-05-21 13:00:00,14.5,0.10954451150103306
Bat,V,2008-05-21 14:00:00,14.450000000000001,0.15165750888103105
Bat,V,2008-05-21 15:00:00,13.983333333333334,0.47081489639418456
Bat,V,2008-05-21 16:00:00,13.283333333333333,0.07527726527090892
Bat,V,2008-05-21 17:00:00,13.183333333333332,0.04082482904638599
Bat,V,2008-05-21 18:00:00,13.199999999999998,0.0
Bat,V,2008-05-21 19:00:00,13.133333333333333,0.051639777949431746
Bat,V,2008-05-21 20:00:00,13.1,0.0
Bat,V,2008-05-21 21:00:00,13.1,0.0
Bat,V,2008-05-21 22:00:00,13.1,0.0
Bat,V,2008-05-21 23:00:00,13.066666666666668,0.051639777949431635
Bat,V,2008-05-22 00:00:00,13.083333333333334,0.04082482904638585
Bat,V,2008-05-22 01:00:00,13.033333333333333,0.05163977794943196
Bat,V,2008-05-22 02:00:00,13.016666666666666,0.04082482904638599
Bat,V,2008-05-22 03:00:00,13.049999999999999,0.054772255750516495
Bat,V,2008-05-22 04:00:00,13.083333333333334,0.04082482904638585
Bat,V,2008-05-22 05:00:00,13.366666666666667,0.15055453054181706
Bat,V,2008-05-22 06:00:00,13.516666666666666,0.11690451944500097
Bat,V,2008-05-22 07:00:00,14.049999999999999,0.4037325847637274
Bat,V,2008-05-22 08:00:00,14.6,0.06324555320336736
Bat,V,2008-05-22 09:00:00,14.566666666666668,0.15055453054181583
Bat,V,2008-05-22 10:00:00,14.5,0.1264911064067351
Bat,V,2008-05-22 11:00:00,14.516666666666666,0.1471960144387971
Bat,V,2008-05-22 12:00:00,14.5,0.1788854381999834
Bat,V,2008-05-22 13:00:00,14.6,0.08944271909999114
Bat,V,2008-05-22 14:00:00,14.4,0.14142135623730911
Bat,V,2008-05-22 15:00:00,14.533333333333333,0.051639777949432114
Bat,V,2008-05-22 16:00:00,14.049999999999999,0.3885871845545096
Bat,V,2008-05-22 17:00:00,13.333333333333334,0.08164965809277225
Bat,V,2008-05-22 18:00:00,13.183333333333332,0.04082482904638642
Bat,V,2008-05-22 19:00:00,13.183333333333332,0.040824829046386374
Bat,V,2008-05-22 20:00:00,13.116666666666667,0.04082482904638585
Bat,V,2008-05-22 21:00:00,13.1,0.0
Bat,V,2008-05-22 22:00:00,13.1,0.0
Bat,V,2008-05-22 23:00:00,13.083333333333334,0.04082482904638628
Bat,V,2008-05-23 00:00:00,13.1,0.0
Bat,V,2008-05-23 01:00:00,13.066666666666668,0.051639777949432
Bat,V,2008-05-23 02:00:00,13.0,0.0
Bat,V,2008-05-23 03:00:00,13.066666666666668,0.05163977794943209
Bat,V,2008-05-23 04:00:00,13.266666666666666,0.29439202887759497
Bat,V,2008-05-23 05:00:00,14.383333333333333,0.2483277404291896
Bat,V,2008-05-23 06:00:00,14.583333333333334,0.16020819787597207
Bat,V,2008-05-23 07:00:00,14.450000000000001,0.08366600265340703
Bat,V,2008-05-23 08:00:00,14.5,0.08944271909999126
Bat,V,2008-05-23 09:00:00,14.466666666666667,0.08164965809277262
Bat,V,2008-05-23 10:00:00,14.366666666666667,0.10327955589886403
Bat,V,2008-05-23 11:00:00,14.483333333333334,0.040824829046386374
Bat,V,2008-05-23 12:00:00,14.450000000000001,0.13784048752090244
Bat,V,2008-05-23 13:00:00,14.4,0.12649110640673472
Bat,V,2008-05-23 14:00:00,14.549999999999999,0.05477225575051624
Bat,V,2008-05-23 15:00:00,14.516666666666666,0.13291601358251245
Bat,V,2008-05-23 16:00:00,13.816666666666668,0.37638632635454045
Bat,V,2008-05-23 17:00:00,13.350000000000001,0.05477225575051595
Bat,V,2008-05-23 18:00:00,13.199999999999998,0.0
Bat,V,2008-05-23 19:00:00,13.199999999999998,0.0
Bat,V,2008-05-23 20:00:00,13.149999999999999,0.05477225575051634
Bat,V,2008-05-23 21:00:00,13.116666666666667,0.04082482904638614
Bat,V,2008-05-23 22:00:00,13.1,0.0
Bat,V,2008-05-23 23:00:00,13.1,0.0
Bat,V,2008-05-24 00:00:00,13.083333333333334,0.04082482904638585
Bat,V,2008-05-24 01:00:00,13.083333333333334,0.04082482904638585
Bat,V,2008-05-24 02:00:00,13.049999999999999,0.054772255750516495
Bat,V,2008-05-24 03:00:00,13.049999999999999,0.05477225575051595
Bat,V,2008-05-24 04:00:00,13.433333333333332,0.2503331114069146
Bat,V,2008-05-24 05:00:00,14.333333333333334,0.15055453054181683
Bat,V,2008-05-24 06:00:00,14.4,0.1788854381999829
Bat,V,2008-05-24 07:00:00,14.433333333333332,0.15055453054181567
Bat,V,2008-05-24 08:00:00,14.466666666666667,0.08164965809277248
Bat,V,2008-05-24 09:00:00,14.483333333333334,0.09831920802501717
Bat,V,2008-05-24 10:00:00,14.450000000000001,0.10488088481701462
Bat,V,2008-05-24 11:00:00,14.433333333333332,0.08164965809277208
