times,Units,value_mean,value_std,parameter
2023-05-19,F,70.26933333333334,0.22131280797630684,Temperature
2023-05-20,F,69.55722222222222,0.5315572877602215,Temperature
2023-05-21,F,68.18319444444445,1.4001120376112,Temperature
2023-05-22,F,-11768.32,32342.044438164517,Temperature
2023-05-23,F,-100003.50684931508,1.3163571445994666,Temperature
2023-05-24,F,-100000.0,0.0,Temperature
2023-05-25,F,,,Temperature
2023-05-26,F,-29590.570000000003,45809.01979504756,Temperature
2023-05-27,F,54.647083333333335,0.9924324120288176,Temperature
2023-05-28,F,55.33625,1.1142302146203682,Temperature
2023-05-29,F,58.37763888888889,1.201652680919988,Temperature
2023-05-30,F,57.52597222222222,2.077602668972454,Temperature
2023-05-31,F,59.507777777777775,1.4975481028335638,Temperature
2023-06-01,F,60.4566974595843,2.092468403986872,Temperature
2023-06-02,F,64.54902777777778,1.0476518785471598,Temperature
2023-06-03,F,62.73583333333334,3.1698141601274887,Temperature
2023-06-04,F,53.46180555555556,0.9498760349778348,Temperature
2023-06-05,F,55.43819444444444,1.3319186931862903,Temperature
2023-06-06,F,58.55791666666667,1.064898201075696,Temperature
2023-06-07,F,59.67527777777778,0.6388925428905897,Temperature
2023-06-08,F,59.70027777777778,0.2987070617500808,Temperature
2023-06-09,F,59.715,0.2262844236160119,Temperature
2023-06-10,F,60.18472222222222,0.9402551446525454,Temperature
2023-06-11,F,61.14902777777778,0.6182967992325521,Temperature
2023-06-12,F,60.633611111111115,0.6713582980970998,Temperature
2023-06-13,F,59.750416666666666,0.2957209327552225,Temperature
2023-06-14,F,60.01541666666667,0.14083546701842384,Temperature
2023-06-15,F,59.920972222222225,0.41481439023369354,Temperature
2023-06-16,F,60.425555555555555,0.3527494482497771,Temperature
2023-06-17,F,60.49861111111112,0.34636316210283746,Temperature
2023-06-18,F,61.70652777777778,1.1144145109620855,Temperature
2023-06-19,F,63.27527777777778,0.4315578177239816,Temperature
2023-06-20,F,62.83069444444445,0.6712525806794556,Temperature
2023-06-21,F,64.79041666666666,0.8569834932229572,Temperature
2023-06-22,F,64.88208333333334,0.4581814274036328,Temperature
2023-06-23,F,63.81180555555556,0.7607134148012861,Temperature
2023-06-24,F,64.69097222222223,0.7772594362535487,Temperature
2023-06-25,F,67.24,1.3850517844021464,Temperature
2023-06-26,F,67.32263888888889,0.6457995488007385,Temperature
2023-06-27,F,66.56972222222223,0.35526653066578295,Temperature
2023-06-28,F,66.75694444444444,0.31782164104148736,Temperature
2023-06-29,F,67.11027777777778,0.7776225989638083,Temperature
2023-06-30,F,67.47791666666666,0.683207130933723,Temperature
2023-07-01,F,68.61138504155124,1.1413932853695676,Temperature
2023-07-02,F,70.415,0.4756054637018851,Temperature
2023-07-03,F,69.76611111111112,0.5719379058266086,Temperature
2023-07-04,F,70.61819444444444,0.9456855943827206,Temperature
2023-07-05,F,72.68416666666667,1.2829607014869446,Temperature
2023-07-06,F,74.52069444444444,0.998320771696258,Temperature
2023-07-07,F,74.05944444444445,0.3875423919264433,Temperature
2023-07-08,F,73.34875,0.40917723513081716,Temperature
2023-07-09,F,73.17819444444444,0.7649955420499153,Temperature
2023-07-10,F,73.81652777777778,0.8611971969529523,Temperature
2023-07-11,F,73.87097222222222,0.3204156411136408,Temperature
2023-07-12,F,74.34597222222222,0.8132154612480457,Temperature
2023-07-13,F,74.25,1.1812674369761333,Temperature
2023-07-14,F,74.20777777777778,1.1715371211556354,Temperature
2023-07-15,F,74.71361111111112,0.7917634940541871,Temperature
2023-07-16,F,74.07569444444445,0.13119152246976282,Temperature
2023-07-17,F,73.89708333333334,0.22794001495534713,Temperature
2023-07-18,F,74.29083333333334,0.37729335874294934,Temperature
2023-07-19,F,74.66854545454545,0.4755151573789638,Temperature
2023-07-20,F,,,Temperature
2023-07-21,F,,,Temperature
2023-07-22,F,,,Temperature
2023-07-23,F,,,Temperature
2023-07-24,F,,,Temperature
2023-07-25,F,,,Temperature
2023-07-26,F,,,Temperature
2023-07-27,F,,,Temperature
2023-07-28,F,,,Temperature
2023-07-29,F,,,Temperature
2023-07-30,F,,,Temperature
2023-07-31,F,,,Temperature
2023-08-01,F,,,Temperature
2023-08-02,F,,,Temperature
2023-08-03,F,,,Temperature
2023-08-04,F,,,Temperature
2023-08-05,F,,,Temperature
2023-08-06,F,,,Temperature
2023-08-07,F,-100000.0,0.0,Temperature
