times,Units,value_mean,value_std,parameter
2021-08-02,mg/L,-37494.34625,48525.10733309111,ODO
2021-08-03,mg/L,9.447058823529412,0.2228593247718648,ODO
2021-08-04,mg/L,9.522916666666665,0.2350604976970019,ODO
2021-08-05,mg/L,9.223191489361701,0.2260976533608279,ODO
2021-08-06,mg/L,9.410625,0.14817398107347163,ODO
2021-08-07,mg/L,9.604583333333332,0.1565824670892368,ODO
2021-08-08,mg/L,9.747083333333332,0.2221746019134967,ODO
2021-08-09,mg/L,9.864166666666668,0.1301578933079753,ODO
2021-08-10,mg/L,9.695208333333333,0.10758826976264016,ODO
2021-08-11,mg/L,9.260625000000001,0.18822341211102323,ODO
2021-08-12,mg/L,8.910625,0.16830607821543003,ODO
2021-08-13,mg/L,9.081666666666667,0.3156284924511176,ODO
2021-08-14,mg/L,9.461458333333335,0.3084638055507023,ODO
2021-08-15,mg/L,9.540000000000001,0.16559106885603495,ODO
2021-08-16,mg/L,9.542916666666667,0.16620633872991433,ODO
2021-08-17,mg/L,9.515,0.18425596492535187,ODO
2021-08-18,mg/L,9.544680851063829,0.1745058552134004,ODO
2021-08-19,mg/L,8.957708333333333,0.12051682471120902,ODO
2021-08-20,mg/L,9.485208333333334,0.22331680608469662,ODO
2021-08-21,mg/L,9.910625,0.13729184474290265,ODO
2021-08-22,mg/L,10.086666666666666,0.15731805353402553,ODO
2021-08-23,mg/L,9.783541666666666,0.15389009255229022,ODO
2021-08-24,mg/L,9.414583333333335,0.13148265761276626,ODO
2021-08-25,mg/L,9.359375,0.08518856924847937,ODO
2021-08-26,mg/L,9.28125,0.18528981545431525,ODO
2021-08-27,mg/L,9.539791666666666,0.09089749271668017,ODO
2021-08-28,mg/L,9.437083333333334,0.12075391943667714,ODO
2021-08-29,mg/L,9.500416666666666,0.09995295493033016,ODO
2021-08-30,mg/L,9.065416666666668,0.1497771157854298,ODO
2021-08-31,mg/L,8.873617021276596,0.17055129348690237,ODO
2021-09-01,mg/L,8.768897455666924,0.17015180985313685,ODO
2021-09-02,mg/L,8.76375,0.23427893977398434,ODO
2021-09-03,mg/L,9.340625000000001,0.3069938861589871,ODO
2021-09-04,mg/L,9.01625,0.3837310985371833,ODO
2021-09-05,mg/L,9.129166666666666,0.23469868960749404,ODO
2021-09-06,mg/L,8.938333333333333,0.11877755725770334,ODO
2021-09-07,mg/L,9.031875,0.14794015212253037,ODO
2021-09-08,mg/L,9.156666666666668,0.10522562631048445,ODO
2021-09-09,mg/L,9.094166666666668,0.08067523912883252,ODO
2021-09-10,mg/L,9.187291666666667,0.1427192988440936,ODO
2021-09-11,mg/L,9.481250000000001,0.1397802329140787,ODO
2021-09-12,mg/L,9.479791666666666,0.09661388242894041,ODO
