times,Units,value_mean,value_std,parameter
2021-08-02 15:00:00,mg/L,-100000.0,0.0,ODO
2021-08-02 16:00:00,mg/L,-100000.0,0.0,ODO
2021-08-02 17:00:00,mg/L,9.1,0.020180999164379404,ODO
2021-08-02 18:00:00,mg/L,9.025,0.015135749373284563,ODO
2021-08-02 19:00:00,mg/L,8.98,0.0,ODO
2021-08-02 20:00:00,mg/L,,,ODO
2021-08-02 21:00:00,mg/L,,,ODO
2021-08-02 22:00:00,mg/L,,,ODO
2021-08-02 23:00:00,mg/L,,,ODO
2021-08-03 00:00:00,mg/L,,,ODO
2021-08-03 01:00:00,mg/L,,,ODO
2021-08-03 02:00:00,mg/L,,,ODO
2021-08-03 03:00:00,mg/L,,,ODO
2021-08-03 04:00:00,mg/L,,,ODO
2021-08-03 05:00:00,mg/L,,,ODO
2021-08-03 06:00:00,mg/L,,,ODO
2021-08-03 07:00:00,mg/L,,,ODO
2021-08-03 08:00:00,mg/L,,,ODO
2021-08-03 09:00:00,mg/L,,,ODO
2021-08-03 10:00:00,mg/L,,,ODO
2021-08-03 11:00:00,mg/L,,,ODO
2021-08-03 12:00:00,mg/L,,,ODO
2021-08-03 13:00:00,mg/L,,,ODO
2021-08-03 14:00:00,mg/L,,,ODO
2021-08-03 15:00:00,mg/L,8.76,0.0,ODO
2021-08-03 16:00:00,mg/L,9.28,0.01009049958219137,ODO
2021-08-03 17:00:00,mg/L,9.334999999999999,0.025226248955473277,ODO
2021-08-03 18:00:00,mg/L,9.41,0.0,ODO
2021-08-03 19:00:00,mg/L,9.44,0.01009049958219137,ODO
2021-08-03 20:00:00,mg/L,9.51,0.030271498746569966,ODO
2021-08-03 21:00:00,mg/L,9.58,0.030271498746569966,ODO
2021-08-03 22:00:00,mg/L,9.635,0.03531674853766569,ODO
2021-08-03 23:00:00,mg/L,9.73,0.05045249791095169,ODO
2021-08-04 00:00:00,mg/L,9.790000000000001,0.010090499582192613,ODO
2021-08-04 01:00:00,mg/L,9.795,0.00504524979109586,ODO
2021-08-04 02:00:00,mg/L,9.805000000000001,0.005045249791094618,ODO
2021-08-04 03:00:00,mg/L,9.81,0.030271498746571212,ODO
2021-08-04 04:00:00,mg/L,9.709999999999999,0.050452497910951764,ODO
2021-08-04 05:00:00,mg/L,9.594999999999999,0.06558824728423723,ODO
2021-08-04 06:00:00,mg/L,9.469999999999999,0.030271498746571212,ODO
2021-08-04 07:00:00,mg/L,9.280000000000001,0.050452497910951764,ODO
2021-08-04 08:00:00,mg/L,9.19,0.0,ODO
2021-08-04 09:00:00,mg/L,9.185,0.005045249791094618,ODO
2021-08-04 10:00:00,mg/L,9.194999999999999,0.005045249791094618,ODO
2021-08-04 11:00:00,mg/L,9.209999999999999,0.010090499582192613,ODO
2021-08-04 12:00:00,mg/L,9.209999999999999,0.0,ODO
2021-08-04 13:00:00,mg/L,9.325000000000001,0.015135749373284563,ODO
2021-08-04 14:00:00,mg/L,9.41,0.020180999164379404,ODO
2021-08-04 15:00:00,mg/L,9.41,0.01009049958219209,ODO
2021-08-04 16:00:00,mg/L,9.395,0.015135749373284563,ODO
2021-08-04 17:00:00,mg/L,9.42,0.01009049958219137,ODO
2021-08-04 18:00:00,mg/L,9.565,0.04540724811985661,ODO
2021-08-04 19:00:00,mg/L,9.685,0.015135749373284563,ODO
2021-08-04 20:00:00,mg/L,9.754999999999999,0.015135749373284563,ODO
2021-08-04 21:00:00,mg/L,9.77,0.01009049958219209,ODO
2021-08-04 22:00:00,mg/L,9.8,0.0,ODO
2021-08-04 23:00:00,mg/L,9.77,0.0,ODO
2021-08-05 00:00:00,mg/L,9.78,0.01009049958219137,ODO
2021-08-05 01:00:00,mg/L,9.719999999999999,0.07063349707533097,ODO
2021-08-05 02:00:00,mg/L,9.61,0.10090499582190225,ODO
2021-08-05 03:00:00,mg/L,9.445000000000002,0.04540724811985661,ODO
2021-08-05 04:00:00,mg/L,9.28,0.01009049958219137,ODO
2021-08-05 05:00:00,mg/L,9.23,0.020180999164379404,ODO
2021-08-05 06:00:00,mg/L,9.245000000000001,0.005045249791094618,ODO
2021-08-05 07:00:00,mg/L,9.245000000000001,0.005045249791094618,ODO
2021-08-05 08:00:00,mg/L,9.235,0.005045249791094618,ODO
2021-08-05 09:00:00,mg/L,9.19,0.030271498746571212,ODO
2021-08-05 10:00:00,mg/L,8.95,0.0,ODO
2021-08-05 11:00:00,mg/L,8.94,0.01009049958219137,ODO
2021-08-05 12:00:00,mg/L,8.95,0.0,ODO
2021-08-05 13:00:00,mg/L,9.025,0.015135749373284563,ODO
2021-08-05 14:00:00,mg/L,9.06,0.01009049958219137,ODO
2021-08-05 15:00:00,mg/L,9.08,0.01009049958219137,ODO
2021-08-05 16:00:00,mg/L,9.075,0.005045249791094618,ODO
2021-08-05 17:00:00,mg/L,9.095,0.015135749373284563,ODO
2021-08-05 18:00:00,mg/L,9.065000000000001,0.005045249791094618,ODO
2021-08-05 19:00:00,mg/L,9.08,0.0,ODO
2021-08-05 20:00:00,mg/L,9.095,0.015135749373284563,ODO
2021-08-05 21:00:00,mg/L,9.155000000000001,0.025226248955473277,ODO
2021-08-05 22:00:00,mg/L,9.3,0.09081449623971245,ODO
2021-08-05 23:00:00,mg/L,9.37,0.0,ODO
2021-08-06 00:00:00,mg/L,9.35,0.0,ODO
2021-08-06 01:00:00,mg/L,9.355,0.005045249791094618,ODO
2021-08-06 02:00:00,mg/L,9.334999999999999,0.015135749373284563,ODO
2021-08-06 03:00:00,mg/L,9.31,0.0,ODO
2021-08-06 04:00:00,mg/L,9.33,0.0,ODO
2021-08-06 05:00:00,mg/L,9.34,0.01009049958219209,ODO
2021-08-06 06:00:00,mg/L,9.334999999999999,0.005045249791094618,ODO
2021-08-06 07:00:00,mg/L,9.320000000000002,0.0,ODO
2021-08-06 08:00:00,mg/L,9.305000000000001,0.005045249791094618,ODO
2021-08-06 09:00:00,mg/L,9.28,0.01009049958219137,ODO
2021-08-06 10:00:00,mg/L,9.254999999999999,0.005045249791094618,ODO
2021-08-06 11:00:00,mg/L,9.245000000000001,0.005045249791094618,ODO
2021-08-06 12:00:00,mg/L,9.265,0.005045249791094618,ODO
2021-08-06 13:00:00,mg/L,9.304999999999998,0.015135749373285807,ODO
2021-08-06 14:00:00,mg/L,9.355,0.005045249791094618,ODO
2021-08-06 15:00:00,mg/L,9.405000000000001,0.015135749373284563,ODO
2021-08-06 16:00:00,mg/L,9.455,0.00504524979109586,ODO
2021-08-06 17:00:00,mg/L,9.49,0.01009049958219137,ODO
2021-08-06 18:00:00,mg/L,9.525,0.015135749373284563,ODO
2021-08-06 19:00:00,mg/L,9.570000000000002,0.01009049958219209,ODO
2021-08-06 20:00:00,mg/L,9.594999999999999,0.005045249791094618,ODO
2021-08-06 21:00:00,mg/L,9.625,0.00504524979109586,ODO
2021-08-06 22:00:00,mg/L,9.73,0.01009049958219209,ODO
2021-08-06 23:00:00,mg/L,9.775,0.005045249791094618,ODO
2021-08-07 00:00:00,mg/L,9.77,0.030271498746571212,ODO
2021-08-07 01:00:00,mg/L,9.74,0.020180999164379404,ODO
2021-08-07 02:00:00,mg/L,9.83,0.01009049958219137,ODO
2021-08-07 03:00:00,mg/L,9.775,0.025226248955474515,ODO
2021-08-07 04:00:00,mg/L,9.66,0.01009049958219209,ODO
2021-08-07 05:00:00,mg/L,9.61,0.01009049958219209,ODO
2021-08-07 06:00:00,mg/L,9.555000000000001,0.005045249791094618,ODO
2021-08-07 07:00:00,mg/L,9.51,0.01009049958219137,ODO
2021-08-07 08:00:00,mg/L,9.48,0.01009049958219209,ODO
2021-08-07 09:00:00,mg/L,9.444999999999999,0.005045249791094618,ODO
2021-08-07 10:00:00,mg/L,9.415000000000001,0.005045249791094618,ODO
2021-08-07 11:00:00,mg/L,9.395,0.005045249791094618,ODO
2021-08-07 12:00:00,mg/L,9.405000000000001,0.005045249791094618,ODO
2021-08-07 13:00:00,mg/L,9.379999999999999,0.010090499582192613,ODO
2021-08-07 14:00:00,mg/L,9.435,0.015135749373284563,ODO
2021-08-07 15:00:00,mg/L,9.475,0.025226248955474515,ODO
2021-08-07 16:00:00,mg/L,9.55,0.0,ODO
2021-08-07 17:00:00,mg/L,9.594999999999999,0.015135749373284563,ODO
2021-08-07 18:00:00,mg/L,9.63,0.0,ODO
2021-08-07 19:00:00,mg/L,9.665000000000001,0.025226248955473277,ODO
2021-08-07 20:00:00,mg/L,9.674999999999999,0.015135749373284563,ODO
2021-08-07 21:00:00,mg/L,9.8,0.0,ODO
2021-08-07 22:00:00,mg/L,9.804999999999998,0.015135749373285807,ODO
2021-08-07 23:00:00,mg/L,9.91,0.05045249791095234,ODO
2021-08-08 00:00:00,mg/L,9.905000000000001,0.025226248955473277,ODO
2021-08-08 01:00:00,mg/L,9.86,0.01009049958219209,ODO
2021-08-08 02:00:00,mg/L,9.76,0.01009049958219137,ODO
2021-08-08 03:00:00,mg/L,9.700000000000001,0.010090499582192613,ODO
2021-08-08 04:00:00,mg/L,9.7,0.0,ODO
2021-08-08 05:00:00,mg/L,9.67,0.01009049958219137,ODO
2021-08-08 06:00:00,mg/L,9.645,0.015135749373284563,ODO
2021-08-08 07:00:00,mg/L,9.615,0.015135749373285807,ODO
2021-08-08 08:00:00,mg/L,9.570000000000002,0.020180999164379404,ODO
2021-08-08 09:00:00,mg/L,9.504999999999999,0.015135749373284563,ODO
2021-08-08 10:00:00,mg/L,9.459999999999999,0.0,ODO
2021-08-08 11:00:00,mg/L,9.459999999999999,0.0,ODO
2021-08-08 12:00:00,mg/L,9.47,0.01009049958219137,ODO
2021-08-08 13:00:00,mg/L,9.52,0.020180999164379404,ODO
2021-08-08 14:00:00,mg/L,9.6,0.020180999164379404,ODO
2021-08-08 15:00:00,mg/L,9.655000000000001,0.005045249791094618,ODO
2021-08-08 16:00:00,mg/L,9.754999999999999,0.03531674853766446,ODO
2021-08-08 17:00:00,mg/L,9.84,0.030271498746570508,ODO
2021-08-08 18:00:00,mg/L,9.819999999999999,0.030271498746571212,ODO
2021-08-08 19:00:00,mg/L,9.895,0.005045249791094618,ODO
2021-08-08 20:00:00,mg/L,9.975,0.025226248955474515,ODO
2021-08-08 21:00:00,mg/L,10.049999999999999,0.020180999164379727,ODO
2021-08-08 22:00:00,mg/L,10.235,0.015135749373284563,ODO
2021-08-08 23:00:00,mg/L,10.265,0.03531674853766569,ODO
2021-08-09 00:00:00,mg/L,10.205,0.1059502456129971,ODO
2021-08-09 01:00:00,mg/L,10.12,0.0,ODO
2021-08-09 02:00:00,mg/L,9.935,0.05549774770204652,ODO
2021-08-09 03:00:00,mg/L,9.9,0.020180999164379404,ODO
2021-08-09 04:00:00,mg/L,9.905000000000001,0.005045249791094618,ODO
2021-08-09 05:00:00,mg/L,9.9,0.01009049958219137,ODO
2021-08-09 06:00:00,mg/L,9.870000000000001,0.010090499582192613,ODO
2021-08-09 07:00:00,mg/L,9.81,0.0,ODO
2021-08-09 08:00:00,mg/L,9.795,0.00504524979109586,ODO
2021-08-09 09:00:00,mg/L,9.745000000000001,0.015135749373284563,ODO
2021-08-09 10:00:00,mg/L,9.700000000000001,0.010090499582192613,ODO
2021-08-09 11:00:00,mg/L,9.665000000000001,0.005045249791094618,ODO
2021-08-09 12:00:00,mg/L,9.67,0.01009049958219137,ODO
2021-08-09 13:00:00,mg/L,9.705,0.015135749373285807,ODO
2021-08-09 14:00:00,mg/L,9.76,0.020180999164379404,ODO
2021-08-09 15:00:00,mg/L,9.799999999999999,0.030271498746571212,ODO
2021-08-09 16:00:00,mg/L,9.825000000000001,0.005045249791094618,ODO
2021-08-09 17:00:00,mg/L,9.86,0.01009049958219209,ODO
2021-08-09 18:00:00,mg/L,9.91,0.01009049958219209,ODO
2021-08-09 19:00:00,mg/L,9.89,0.01009049958219209,ODO
2021-08-09 20:00:00,mg/L,9.924999999999999,0.015135749373284563,ODO
2021-08-09 21:00:00,mg/L,9.945000000000002,0.025226248955474515,ODO
2021-08-09 22:00:00,mg/L,9.930000000000001,0.030271498746571212,ODO
2021-08-09 23:00:00,mg/L,9.97,0.0,ODO
2021-08-10 00:00:00,mg/L,9.865,0.025226248955474515,ODO
2021-08-10 01:00:00,mg/L,9.9,0.020180999164379404,ODO
2021-08-10 02:00:00,mg/L,9.85,0.04036199832876053,ODO
2021-08-10 03:00:00,mg/L,9.75,0.01009049958219209,ODO
2021-08-10 04:00:00,mg/L,9.73,0.020180999164379404,ODO
2021-08-10 05:00:00,mg/L,9.745000000000001,0.015135749373284563,ODO
2021-08-10 06:00:00,mg/L,9.709999999999999,0.010090499582192613,ODO
2021-08-10 07:00:00,mg/L,9.69,0.01009049958219137,ODO
2021-08-10 08:00:00,mg/L,9.63,0.0,ODO
2021-08-10 09:00:00,mg/L,9.61,0.02018099916438065,ODO
2021-08-10 10:00:00,mg/L,9.584999999999999,0.005045249791094618,ODO
2021-08-10 11:00:00,mg/L,9.59,0.0,ODO
2021-08-10 12:00:00,mg/L,9.56,0.01009049958219137,ODO
2021-08-10 13:00:00,mg/L,9.515,0.015135749373284563,ODO
2021-08-10 14:00:00,mg/L,9.52,0.01009049958219209,ODO
2021-08-10 15:00:00,mg/L,9.565,0.015135749373284563,ODO
2021-08-10 16:00:00,mg/L,9.63,0.0,ODO
2021-08-10 17:00:00,mg/L,9.679999999999998,0.01009049958219209,ODO
2021-08-10 18:00:00,mg/L,9.709999999999999,0.010090499582192613,ODO
2021-08-10 19:00:00,mg/L,9.715000000000002,0.005045249791094618,ODO
2021-08-10 20:00:00,mg/L,9.754999999999999,0.005045249791094618,ODO
2021-08-10 21:00:00,mg/L,9.78,0.01009049958219137,ODO
2021-08-10 22:00:00,mg/L,9.8,0.0,ODO
2021-08-10 23:00:00,mg/L,9.8,0.0,ODO
2021-08-11 00:00:00,mg/L,9.73,0.04036199832876053,ODO
2021-08-11 01:00:00,mg/L,9.61,0.020180999164379727,ODO
2021-08-11 02:00:00,mg/L,9.51,0.030271498746569966,ODO
2021-08-11 03:00:00,mg/L,9.429999999999998,0.020180999164379404,ODO
2021-08-11 04:00:00,mg/L,9.35,0.01009049958219137,ODO
2021-08-11 05:00:00,mg/L,9.304999999999998,0.015135749373285807,ODO
2021-08-11 06:00:00,mg/L,9.265,0.015135749373284563,ODO
2021-08-11 07:00:00,mg/L,9.23,0.01009049958219209,ODO
2021-08-11 08:00:00,mg/L,9.185,0.015135749373284563,ODO
2021-08-11 09:00:00,mg/L,9.135,0.015135749373285807,ODO
2021-08-11 10:00:00,mg/L,9.07,0.020180999164379404,ODO
2021-08-11 11:00:00,mg/L,9.0,0.030271498746570508,ODO
2021-08-11 12:00:00,mg/L,8.934999999999999,0.015135749373284563,ODO
2021-08-11 13:00:00,mg/L,9.014999999999999,0.015135749373284563,ODO
2021-08-11 14:00:00,mg/L,9.065000000000001,0.015135749373284563,ODO
2021-08-11 15:00:00,mg/L,9.139999999999999,0.020180999164379727,ODO
2021-08-11 16:00:00,mg/L,9.24,0.020180999164379404,ODO
2021-08-11 17:00:00,mg/L,9.284999999999998,0.005045249791094618,ODO
2021-08-11 18:00:00,mg/L,9.235,0.04540724811985661,ODO
2021-08-11 19:00:00,mg/L,9.315,0.025226248955474515,ODO
2021-08-11 20:00:00,mg/L,9.355,0.015135749373284563,ODO
2021-08-11 21:00:00,mg/L,9.385,0.015135749373285807,ODO
2021-08-11 22:00:00,mg/L,9.320000000000002,0.01009049958219209,ODO
2021-08-11 23:00:00,mg/L,9.145,0.06558824728423723,ODO
2021-08-12 00:00:00,mg/L,9.040000000000001,0.010090499582192613,ODO
2021-08-12 01:00:00,mg/L,8.97,0.05045249791095169,ODO
2021-08-12 02:00:00,mg/L,9.0,0.020180999164379404,ODO
2021-08-12 03:00:00,mg/L,8.97,0.01009049958219137,ODO
2021-08-12 04:00:00,mg/L,8.9,0.04036199832876053,ODO
2021-08-12 05:00:00,mg/L,8.855,0.015135749373284563,ODO
2021-08-12 06:00:00,mg/L,8.915000000000001,0.005045249791094618,ODO
2021-08-12 07:00:00,mg/L,8.834999999999999,0.025226248955473277,ODO
2021-08-12 08:00:00,mg/L,8.72,0.020180999164379727,ODO
2021-08-12 09:00:00,mg/L,8.76,0.01009049958219137,ODO
2021-08-12 10:00:00,mg/L,8.76,0.0,ODO
2021-08-12 11:00:00,mg/L,8.74,0.0,ODO
2021-08-12 12:00:00,mg/L,8.73,0.01009049958219209,ODO
2021-08-12 13:00:00,mg/L,8.72,0.01009049958219137,ODO
2021-08-12 14:00:00,mg/L,8.715,0.005045249791094618,ODO
2021-08-12 15:00:00,mg/L,8.78,0.05045249791095169,ODO
2021-08-12 16:00:00,mg/L,8.86,0.01009049958219209,ODO
2021-08-12 17:00:00,mg/L,8.9,0.030271498746571212,ODO
2021-08-12 18:00:00,mg/L,8.995000000000001,0.025226248955473277,ODO
2021-08-12 19:00:00,mg/L,8.965,0.05549774770204652,ODO
2021-08-12 20:00:00,mg/L,9.0,0.04036199832875987,ODO
2021-08-12 21:00:00,mg/L,9.120000000000001,0.05045249791095169,ODO
2021-08-12 22:00:00,mg/L,9.225,0.025226248955474515,ODO
2021-08-12 23:00:00,mg/L,9.379999999999999,0.04036199832876053,ODO
2021-08-13 00:00:00,mg/L,9.370000000000001,0.04036199832876053,ODO
2021-08-13 01:00:00,mg/L,9.035,0.08576924644861807,ODO
2021-08-13 02:00:00,mg/L,8.95,0.02018099916438065,ODO
2021-08-13 03:00:00,mg/L,8.934999999999999,0.005045249791094618,ODO
2021-08-13 04:00:00,mg/L,8.915000000000001,0.005045249791094618,ODO
2021-08-13 05:00:00,mg/L,8.885000000000002,0.005045249791094618,ODO
2021-08-13 06:00:00,mg/L,8.855,0.005045249791094618,ODO
2021-08-13 07:00:00,mg/L,8.825,0.005045249791094618,ODO
2021-08-13 08:00:00,mg/L,8.8,0.02018099916438065,ODO
2021-08-13 09:00:00,mg/L,8.78,0.0,ODO
2021-08-13 10:00:00,mg/L,8.675,0.025226248955473277,ODO
2021-08-13 11:00:00,mg/L,8.6,0.01009049958219137,ODO
2021-08-13 12:00:00,mg/L,8.78,0.04036199832876053,ODO
2021-08-13 13:00:00,mg/L,8.95,0.02018099916438065,ODO
2021-08-13 14:00:00,mg/L,9.004999999999999,0.015135749373284563,ODO
2021-08-13 15:00:00,mg/L,9.07,0.0,ODO
2021-08-13 16:00:00,mg/L,9.135,0.025226248955474515,ODO
2021-08-13 17:00:00,mg/L,9.205,0.015135749373285807,ODO
2021-08-13 18:00:00,mg/L,9.295,0.025226248955474515,ODO
2021-08-13 19:00:00,mg/L,9.385,0.025226248955474515,ODO
2021-08-13 20:00:00,mg/L,9.5,0.030271498746570508,ODO
2021-08-13 21:00:00,mg/L,9.58,0.030271498746569966,ODO
2021-08-13 22:00:00,mg/L,9.700000000000001,0.030271498746571212,ODO
2021-08-13 23:00:00,mg/L,9.73,0.01009049958219209,ODO
2021-08-14 00:00:00,mg/L,9.700000000000001,0.04036199832876053,ODO
2021-08-14 01:00:00,mg/L,9.65,0.020180999164379404,ODO
2021-08-14 02:00:00,mg/L,9.570000000000002,0.01009049958219209,ODO
2021-08-14 03:00:00,mg/L,9.49,0.020180999164379404,ODO
2021-08-14 04:00:00,mg/L,9.365,0.03531674853766569,ODO
2021-08-14 05:00:00,mg/L,9.28,0.01009049958219137,ODO
2021-08-14 06:00:00,mg/L,9.23,0.01009049958219209,ODO
2021-08-14 07:00:00,mg/L,9.139999999999999,0.02018099916438065,ODO
2021-08-14 08:00:00,mg/L,9.084999999999999,0.005045249791094618,ODO
2021-08-14 09:00:00,mg/L,9.045,0.00504524979109586,ODO
2021-08-14 10:00:00,mg/L,9.014999999999999,0.005045249791094618,ODO
2021-08-14 11:00:00,mg/L,9.01,0.01009049958219137,ODO
2021-08-14 12:00:00,mg/L,9.025,0.015135749373284563,ODO
2021-08-14 13:00:00,mg/L,9.17,0.10090499582190102,ODO
2021-08-14 14:00:00,mg/L,9.435,0.05549774770204652,ODO
2021-08-14 15:00:00,mg/L,9.56,0.02018099916438065,ODO
2021-08-14 16:00:00,mg/L,9.6,0.01009049958219137,ODO
2021-08-14 17:00:00,mg/L,9.679999999999998,0.01009049958219209,ODO
2021-08-14 18:00:00,mg/L,9.725,0.005045249791094618,ODO
2021-08-14 19:00:00,mg/L,9.76,0.020180999164379404,ODO
2021-08-14 20:00:00,mg/L,9.825000000000001,0.05549774770204667,ODO
2021-08-14 21:00:00,mg/L,9.895,0.05549774770204652,ODO
2021-08-14 22:00:00,mg/L,9.9,0.020180999164379404,ODO
