times,Units,value_mean,value_std,parameter
2021-08-02,mg/L,-37494.34625,48525.10733309111,ODO
2021-08-03,mg/L,9.447058823529412,0.2228593247718648,ODO
2021-08-04,mg/L,9.522916666666664,0.2350604976970019,ODO
2021-08-05,mg/L,9.2231914893617,0.2260976533608279,ODO
2021-08-06,mg/L,9.410625,0.1481739810734716,ODO
2021-08-07,mg/L,9.604583333333332,0.1565824670892368,ODO
2021-08-08,mg/L,9.747083333333332,0.2221746019134967,ODO
2021-08-09,mg/L,9.864166666666668,0.1301578933079753,ODO
2021-08-10,mg/L,9.695208333333332,0.1075882697626401,ODO
2021-08-11,mg/L,9.260625,0.1882234121110232,ODO
2021-08-12,mg/L,8.910625,0.16830607821543,ODO
2021-08-13,mg/L,9.081666666666669,0.3156284924511176,ODO
2021-08-14,mg/L,9.461458333333336,0.3084638055507023,ODO
2021-08-15,mg/L,9.54,0.1655910688560349,ODO
2021-08-16,mg/L,9.542916666666668,0.1662063387299143,ODO
2021-08-17,mg/L,9.515,0.1842559649253518,ODO
2021-08-18,mg/L,9.544680851063829,0.1745058552134004,ODO
2021-08-19,mg/L,8.957708333333333,0.120516824711209,ODO
2021-08-20,mg/L,9.485208333333334,0.2233168060846966,ODO
2021-08-21,mg/L,9.910625,0.1372918447429026,ODO
2021-08-22,mg/L,10.086666666666666,0.1573180535340255,ODO
2021-08-23,mg/L,9.783541666666666,0.1538900925522902,ODO
2021-08-24,mg/L,9.414583333333336,0.1314826576127662,ODO
2021-08-25,mg/L,9.359375,0.0851885692484793,ODO
2021-08-26,mg/L,9.28125,0.1852898154543152,ODO
2021-08-27,mg/L,9.539791666666666,0.0908974927166801,ODO
2021-08-28,mg/L,9.437083333333334,0.1207539194366771,ODO
2021-08-29,mg/L,9.500416666666666,0.0999529549303301,ODO
2021-08-30,mg/L,9.065416666666668,0.1497771157854298,ODO
2021-08-31,mg/L,8.873617021276596,0.1705512934869023,ODO
2021-09-01,mg/L,8.768897455666924,0.1701518098531368,ODO
2021-09-02,mg/L,8.76375,0.2342789397739843,ODO
2021-09-03,mg/L,9.340625,0.3069938861589871,ODO
2021-09-04,mg/L,9.01625,0.3837310985371833,ODO
2021-09-05,mg/L,9.129166666666666,0.234698689607494,ODO
2021-09-06,mg/L,8.938333333333333,0.1187775572577033,ODO
2021-09-07,mg/L,9.031875,0.1479401521225303,ODO
2021-09-08,mg/L,9.156666666666668,0.1052256263104844,ODO
2021-09-09,mg/L,9.094166666666668,0.0806752391288325,ODO
2021-09-10,mg/L,9.187291666666669,0.1427192988440936,ODO
2021-09-11,mg/L,9.48125,0.1397802329140787,ODO
2021-09-12,mg/L,9.479791666666666,0.0966138824289404,ODO
