times,Units,value_mean,value_std,parameter
2021-08-02 15:00:00,F,70.98,0.0,Temperature
2021-08-02 16:00:00,F,72.32000000000001,0.3935294837054199,Temperature
2021-08-02 17:00:00,F,73.62,0.28253398830132553,Temperature
2021-08-02 18:00:00,F,74.66499999999999,0.2169457410170877,Temperature
2021-08-02 19:00:00,F,75.26,0.0,Temperature
2021-08-02 20:00:00,F,,,Temperature
2021-08-02 21:00:00,F,,,Temperature
2021-08-02 22:00:00,F,,,Temperature
2021-08-02 23:00:00,F,,,Temperature
2021-08-03 00:00:00,F,,,Temperature
2021-08-03 01:00:00,F,,,Temperature
2021-08-03 02:00:00,F,,,Temperature
2021-08-03 03:00:00,F,,,Temperature
2021-08-03 04:00:00,F,,,Temperature
2021-08-03 05:00:00,F,,,Temperature
2021-08-03 06:00:00,F,,,Temperature
2021-08-03 07:00:00,F,,,Temperature
2021-08-03 08:00:00,F,,,Temperature
2021-08-03 09:00:00,F,,,Temperature
2021-08-03 10:00:00,F,,,Temperature
2021-08-03 11:00:00,F,,,Temperature
2021-08-03 12:00:00,F,,,Temperature
2021-08-03 13:00:00,F,,,Temperature
2021-08-03 14:00:00,F,,,Temperature
2021-08-03 15:00:00,F,,,Temperature
2021-08-03 16:00:00,F,78.87,3.6628513483350718,Temperature
2021-08-03 17:00:00,F,75.53,0.060542997493146414,Temperature
2021-08-03 18:00:00,F,75.905,0.13622174435957402,Temperature
2021-08-03 19:00:00,F,76.18500000000002,0.04540724811985858,Temperature
2021-08-03 20:00:00,F,76.425,0.03531674853766557,Temperature
2021-08-03 21:00:00,F,76.625,0.06558824728423249,Temperature
2021-08-03 22:00:00,F,76.83500000000001,0.05549774770204626,Temperature
2021-08-03 23:00:00,F,76.425,0.06558824728423249,Temperature
2021-08-04 00:00:00,F,76.60000000000001,0.04036199832875694,Temperature
2021-08-04 01:00:00,F,76.045,0.03531674853766557,Temperature
2021-08-04 02:00:00,F,75.345,0.1866742422705209,Temperature
2021-08-04 03:00:00,F,75.07000000000001,0.5146154786916982,Temperature
2021-08-04 04:00:00,F,74.57000000000001,0.05045249791095717,Temperature
2021-08-04 05:00:00,F,74.58000000000001,0.07063349707533959,Temperature
2021-08-04 06:00:00,F,74.54499999999999,0.025226248955475285,Temperature
2021-08-04 07:00:00,F,74.345,0.03531674853766056,Temperature
2021-08-04 08:00:00,F,74.205,0.03531674853766557,Temperature
2021-08-04 09:00:00,F,74.125,0.025226248955482557,Temperature
2021-08-04 10:00:00,F,74.02,0.010090499582191083,Temperature
2021-08-04 11:00:00,F,73.90499999999999,0.05549774770204626,Temperature
2021-08-04 12:00:00,F,73.85000000000001,0.010090499582197484,Temperature
2021-08-04 13:00:00,F,73.98,0.060542997493146414,Temperature
2021-08-04 14:00:00,F,74.2,0.05045249791095643,Temperature
2021-08-04 15:00:00,F,74.395,0.04540724811985858,Temperature
2021-08-04 16:00:00,F,74.59,0.08072399665753673,Temperature
2021-08-04 17:00:00,F,74.91499999999999,0.1059502456129995,Temperature
2021-08-04 18:00:00,F,75.11,0.1009049958219074,Temperature
2021-08-04 19:00:00,F,75.095,0.025226248955482557,Temperature
2021-08-04 20:00:00,F,75.245,0.16649324310613756,Temperature
2021-08-04 21:00:00,F,75.0,0.07063349707532977,Temperature
2021-08-04 22:00:00,F,74.92999999999999,0.07063349707533959,Temperature
2021-08-04 23:00:00,F,74.71,0.0,Temperature
2021-08-05 00:00:00,F,74.645,0.1866742422705209,Temperature
2021-08-05 01:00:00,F,74.265,0.0050452497910904,Temperature
2021-08-05 02:00:00,F,74.17999999999999,0.020180999164385472,Temperature
2021-08-05 03:00:00,F,74.175,0.00504524979110034,Temperature
2021-08-05 04:00:00,F,74.125,0.005045249791095409,Temperature
2021-08-05 05:00:00,F,74.09,0.020180999164385472,Temperature
2021-08-05 06:00:00,F,74.0,0.020180999164375532,Temperature
2021-08-05 07:00:00,F,73.95,0.05045249791095643,Temperature
2021-08-05 08:00:00,F,73.9,0.0,Temperature
2021-08-05 09:00:00,F,73.89999999999999,0.010090499582197484,Temperature
2021-08-05 10:00:00,F,73.83,0.03027149874657346,Temperature
2021-08-05 11:00:00,F,73.775,0.015135749373282084,Temperature
2021-08-05 12:00:00,F,73.705,0.015135749373282084,Temperature
2021-08-05 13:00:00,F,73.88499999999999,0.06558824728424242,Temperature
2021-08-05 14:00:00,F,74.14999999999999,0.07063349707533972,Temperature
2021-08-05 15:00:00,F,74.575,0.1160407451952058,Temperature
2021-08-05 16:00:00,F,75.02,0.11099549540410607,Temperature
2021-08-05 17:00:00,F,75.68499999999999,0.16649324310613756,Temperature
2021-08-05 18:00:00,F,75.91499999999999,0.06558824728424242,Temperature
2021-08-05 19:00:00,F,76.255,0.0857692464486192,Temperature
2021-08-05 20:00:00,F,76.575,0.10595024561300945,Temperature
2021-08-05 21:00:00,F,76.80999999999999,0.07063349707533972,Temperature
2021-08-05 22:00:00,F,76.855,0.00504524979110034,Temperature
2021-08-05 23:00:00,F,76.95500000000001,0.05549774770204626,Temperature
2021-08-06 00:00:00,F,76.93999999999998,0.08072399665753673,Temperature
2021-08-06 01:00:00,F,76.745,0.05549774770204626,Temperature
2021-08-06 02:00:00,F,76.7,0.07063349707533972,Temperature
2021-08-06 03:00:00,F,76.42999999999999,0.15135749373286814,Temperature
2021-08-06 04:00:00,F,75.89999999999999,0.19171949206161848,Temperature
2021-08-06 05:00:00,F,76.235,0.015135749373282084,Temperature
2021-08-06 06:00:00,F,76.17,0.05045249791095643,Temperature
2021-08-06 07:00:00,F,76.035,0.06558824728423249,Temperature
2021-08-06 08:00:00,F,75.88,0.09081449623972092,Temperature
2021-08-06 09:00:00,F,75.715,0.0857692464486192,Temperature
2021-08-06 10:00:00,F,75.495,0.04540724811985858,Temperature
2021-08-06 11:00:00,F,75.31000000000002,0.020180999164375532,Temperature
2021-08-06 12:00:00,F,75.12,0.020180999164385472,Temperature
2021-08-06 13:00:00,F,75.16,0.010090499582197484,Temperature
2021-08-06 14:00:00,F,75.285,0.03531674853766056,Temperature
2021-08-06 15:00:00,F,75.45500000000001,0.0857692464486192,Temperature
2021-08-06 16:00:00,F,75.7,0.12108599498627651,Temperature
2021-08-06 17:00:00,F,76.045,0.09585974603080448,Temperature
2021-08-06 18:00:00,F,76.43500000000002,0.1463122439417536,Temperature
2021-08-06 19:00:00,F,76.68500000000002,0.04540724811985858,Temperature
2021-08-06 20:00:00,F,76.87,0.05045249791096637,Temperature
2021-08-06 21:00:00,F,77.10000000000001,0.06054299749313647,Temperature
2021-08-06 22:00:00,F,76.67999999999999,0.010090499582197484,Temperature
2021-08-06 23:00:00,F,76.56000000000002,0.03027149874658266,Temperature
2021-08-07 00:00:00,F,76.55499999999999,0.05549774770204626,Temperature
2021-08-07 01:00:00,F,76.505,0.035316748537669834,Temperature
2021-08-07 02:00:00,F,76.72,0.020180999164375532,Temperature
2021-08-07 03:00:00,F,76.625,0.055497747702056205,Temperature
2021-08-07 04:00:00,F,76.46000000000001,0.05045249791095717,Temperature
2021-08-07 05:00:00,F,76.355,0.00504524979110034,Temperature
2021-08-07 06:00:00,F,76.215,0.025226248955475285,Temperature
2021-08-07 07:00:00,F,76.12,0.010090499582197484,Temperature
2021-08-07 08:00:00,F,76.06499999999998,0.015135749373282084,Temperature
2021-08-07 09:00:00,F,75.955,0.04540724811985858,Temperature
2021-08-07 10:00:00,F,75.87,0.05045249791095717,Temperature
2021-08-07 11:00:00,F,75.835,0.015135749373282084,Temperature
2021-08-07 12:00:00,F,75.74000000000001,0.05045249791095717,Temperature
2021-08-07 13:00:00,F,75.77499999999999,0.0454072481198507,Temperature
2021-08-07 14:00:00,F,75.985,0.06558824728423249,Temperature
2021-08-07 15:00:00,F,76.13499999999999,0.00504524979110034,Temperature
2021-08-07 16:00:00,F,77.03,0.11099549540410607,Temperature
2021-08-07 17:00:00,F,77.22,0.010090499582198226,Temperature
2021-08-07 18:00:00,F,77.37,0.1412669941506727,Temperature
2021-08-07 19:00:00,F,77.88499999999999,0.13622174435957232,Temperature
2021-08-07 20:00:00,F,78.035,0.06558824728423249,Temperature
2021-08-07 21:00:00,F,78.095,0.015135749373282084,Temperature
2021-08-07 22:00:00,F,78.16499999999999,0.0353167485376705,Temperature
2021-08-07 23:00:00,F,78.255,0.04540724811985858,Temperature
2021-08-08 00:00:00,F,77.84,0.04036199832875694,Temperature
2021-08-08 01:00:00,F,77.64999999999999,0.0807239966575409,Temperature
2021-08-08 02:00:00,F,77.81000000000002,0.08072399665753673,Temperature
2021-08-08 03:00:00,F,77.22,0.15135749373287027,Temperature
2021-08-08 04:00:00,F,77.31499999999998,0.005045249791095409,Temperature
2021-08-08 05:00:00,F,77.29499999999999,0.05549774770204626,Temperature
2021-08-08 06:00:00,F,77.22,0.0,Temperature
2021-08-08 07:00:00,F,77.115,0.04540724811985858,Temperature
2021-08-08 08:00:00,F,76.97000000000001,0.04036199832875694,Temperature
2021-08-08 09:00:00,F,76.855,0.025226248955475285,Temperature
2021-08-08 10:00:00,F,76.75,0.04036199832876688,Temperature
2021-08-08 11:00:00,F,76.66499999999999,0.00504524979110034,Temperature
2021-08-08 12:00:00,F,76.59,0.0,Temperature
2021-08-08 13:00:00,F,76.66,0.05045249791096298,Temperature
2021-08-08 14:00:00,F,76.88,0.08072399665753673,Temperature
2021-08-08 15:00:00,F,77.21000000000001,0.0807239966575409,Temperature
2021-08-08 16:00:00,F,77.505,0.07567874686642653,Temperature
2021-08-08 17:00:00,F,77.97,0.05045249791096298,Temperature
2021-08-08 18:00:00,F,78.37,0.05045249791096637,Temperature
2021-08-08 19:00:00,F,78.44500000000001,0.00504524979110034,Temperature
2021-08-08 20:00:00,F,78.52499999999999,0.00504524979110034,Temperature
2021-08-08 21:00:00,F,78.68999999999998,0.0,Temperature
2021-08-08 22:00:00,F,78.355,0.28757923809242775,Temperature
2021-08-08 23:00:00,F,77.895,0.0353167485376705,Temperature
2021-08-09 00:00:00,F,77.86500000000001,0.13622174435957232,Temperature
2021-08-09 01:00:00,F,77.30499999999999,0.12613124477739535,Temperature
2021-08-09 02:00:00,F,77.18500000000002,0.04540724811985858,Temperature
2021-08-09 03:00:00,F,77.38499999999999,0.05549774770204626,Temperature
2021-08-09 04:00:00,F,77.2,0.03027149874657346,Temperature
2021-08-09 05:00:00,F,77.05,0.03027149874657346,Temperature
2021-08-09 06:00:00,F,76.94500000000001,0.025226248955475285,Temperature
2021-08-09 07:00:00,F,76.885,0.015135749373282084,Temperature
2021-08-09 08:00:00,F,76.80499999999999,0.0353167485376705,Temperature
2021-08-09 09:00:00,F,76.735,0.0050452497910904,Temperature
2021-08-09 10:00:00,F,76.705,0.0050452497910904,Temperature
2021-08-09 11:00:00,F,76.66,0.020180999164385472,Temperature
2021-08-09 12:00:00,F,76.635,0.015135749373282084,Temperature
2021-08-09 13:00:00,F,76.67999999999999,0.06054299749313647,Temperature
2021-08-09 14:00:00,F,76.91999999999999,0.04036199832875694,Temperature
2021-08-09 15:00:00,F,77.3,0.10090499582191734,Temperature
2021-08-09 16:00:00,F,77.535,0.06558824728423249,Temperature
2021-08-09 17:00:00,F,77.80499999999999,0.0857692464486192,Temperature
2021-08-09 18:00:00,F,78.05499999999999,0.0353167485376705,Temperature
2021-08-09 19:00:00,F,78.165,0.015135749373282084,Temperature
2021-08-09 20:00:00,F,78.095,0.06558824728423249,Temperature
2021-08-09 21:00:00,F,78.655,0.4389367318252729,Temperature
2021-08-09 22:00:00,F,79.55499999999999,0.00504524979110034,Temperature
