parameter,Units,times,value_mean,value_std
Air_Temperature,F,2014-05-06,47.3,5.712129103976901
Air_Temperature,F,2014-05-07,51.10972222222222,3.9342554737458806
Air_Temperature,F,2014-05-08,55.049305555555556,4.133284325438468
Air_Temperature,F,2014-05-09,70.53541666666666,5.625811530221091
Air_Temperature,F,2014-05-10,58.24513888888888,5.510959677919819
Air_Temperature,F,2014-05-11,57.23472222222222,3.47012231769075
Air_Temperature,F,2014-05-12,65.46111111111111,2.6258709916603937
Air_Temperature,F,2014-05-13,72.84375,5.148537273525264
Air_Temperature,F,2014-05-14,63.15277777777778,4.333642992887725
Air_Temperature,F,2014-05-15,66.13553719008264,5.96959259527709
Air_Temperature,F,2014-05-16,47.59027777777778,3.3157699090706094
Air_Temperature,F,2014-05-17,46.28958333333333,2.052756043181322
Air_Temperature,F,2014-05-18,49.46736111111111,4.253989704025667
Air_Temperature,F,2014-05-19,55.55416666666666,1.874189518843688
Air_Temperature,F,2014-05-20,59.55833333333333,4.442802757202164
Air_Temperature,F,2014-05-21,63.209722222222226,2.1927220773893286
Air_Temperature,F,2014-05-22,59.237500000000004,3.8497637544264496
Air_Temperature,F,2014-05-23,53.00347222222222,2.346062038639963
Air_Temperature,F,2014-05-24,55.045833333333334,3.2385492346279854
Air_Temperature,F,2014-05-25,61.28402777777777,4.602343710522878
Air_Temperature,F,2014-05-26,67.35972222222222,2.2151921984856937
Air_Temperature,F,2014-05-27,69.36388888888888,2.950197093644808
Air_Temperature,F,2014-05-28,63.62042253521127,2.614363765568806
Air_Temperature,F,2014-05-29,58.47430555555555,2.6230030504977067
Air_Temperature,F,2014-05-30,58.40902777777777,4.253517537793734
Air_Temperature,F,2014-05-31,64.62777777777778,4.692046977723647
Air_Temperature,F,2014-06-01,68.05568833652008,5.858343823487417
Air_Temperature,F,2014-06-02,72.81180555555555,3.10781159834456
Air_Temperature,F,2014-06-03,69.64375,3.724349941268872
Air_Temperature,F,2014-06-04,62.09166666666666,2.02781319339466
Air_Temperature,F,2014-06-05,58.99722222222222,1.7776933030495692
Air_Temperature,F,2014-06-06,59.02708333333334,3.907676672403691
Air_Temperature,F,2014-06-07,63.798611111111114,5.405120480788827
Air_Temperature,F,2014-06-08,64.2792857142857,2.7326954679338162
Air_Temperature,F,2014-06-09,63.04788732394366,2.8733832775550017
Air_Temperature,F,2014-06-10,65.57013888888889,3.32566093811671
Air_Temperature,F,2014-06-11,72.4125,5.316478675681985
Air_Temperature,F,2014-06-12,70.98055555555555,2.905857026172055
Air_Temperature,F,2014-06-13,67.44027777777777,1.6357946138281563
Air_Temperature,F,2014-06-14,58.90972222222222,2.239821703649333
Air_Temperature,F,2014-06-15,61.25486111111111,5.944684362716158
Air_Temperature,F,2014-06-16,71.85347222222222,4.872069477611927
Air_Temperature,F,2014-06-17,78.4,6.266386327445199
Air_Temperature,F,2014-06-18,69.92083333333333,2.8577855628709052
Air_Temperature,F,2014-06-19,68.59722222222223,2.6461979403641034
Air_Temperature,F,2014-06-20,64.82430555555555,4.040410336252518
Air_Temperature,F,2014-06-21,66.67222222222223,3.7964584119570417
Air_Temperature,F,2014-06-22,67.8125,5.631577086309127
Air_Temperature,F,2014-06-23,72.51805555555556,6.483602506611363
Air_Temperature,F,2014-06-24,75.93402777777777,5.107159109361053
Air_Temperature,F,2014-06-25,69.72971014492754,0.7807893172633019
Air_Temperature,F,2014-06-26,69.32777777777777,1.313150234964513
Air_Temperature,F,2014-06-27,70.43888888888888,4.64715184023655
Air_Temperature,F,2014-06-28,75.31875,4.50778652680633
Air_Temperature,F,2014-06-29,77.96180555555556,3.9654954304158716
Air_Temperature,F,2014-06-30,77.83611111111111,6.409459596722748
Air_Temperature,F,2014-07-01,78.62711081794195,2.361040841189795
Air_Temperature,F,2014-07-02,75.55138888888888,2.265385823598421
Air_Temperature,F,2014-07-03,71.46597222222222,2.3005966909748214
Air_Temperature,F,2014-07-04,64.82152777777777,2.78696510730177
Air_Temperature,F,2014-07-05,69.13194444444444,3.7990681765156022
Air_Temperature,F,2014-07-06,72.09375,5.995041833701116
Air_Temperature,F,2014-07-07,74.5326388888889,2.737387009899659
Air_Temperature,F,2014-07-08,73.73194444444444,2.370449776406024
Air_Temperature,F,2014-07-09,69.80208333333333,1.8954266105700162
Air_Temperature,F,2014-07-10,67.49097222222223,4.989408018228929
Air_Temperature,F,2014-07-11,68.83472222222223,5.001775872740949
Air_Temperature,F,2014-07-12,72.61388888888888,4.3820868283021746
Air_Temperature,F,2014-07-13,75.58958333333334,2.026645354027776
Air_Temperature,F,2014-07-14,74.60763888888889,2.8048522262567115
Air_Temperature,F,2014-07-15,70.82916666666667,1.3123862835289184
Air_Temperature,F,2014-07-16,66.2486111111111,2.167729685707324
Air_Temperature,F,2014-07-17,65.87222222222222,3.355742515281525
Air_Temperature,F,2014-07-18,67.62708333333333,4.974701857992872
Air_Temperature,F,2014-07-19,66.92986111111111,1.687283247535921
Air_Temperature,F,2014-07-20,69.48125,2.7952234005084358
Air_Temperature,F,2014-07-21,70.80416666666666,3.2011124999258955
Air_Temperature,F,2014-07-22,74.14791666666666,4.848867974432382
Air_Temperature,F,2014-07-23,74.76041666666667,3.8008517889895717
Air_Temperature,F,2014-07-24,67.60763888888889,1.8241818109534724
Air_Temperature,F,2014-07-25,65.60625,4.529365057600078
Air_Temperature,F,2014-07-26,70.39930555555556,3.7932094794122824
Air_Temperature,F,2014-07-27,73.62152777777777,1.7561995985628454
Air_Temperature,F,2014-07-28,66.34027777777777,1.5421837933119855
