,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Temp,Sp Cond,pH,Turb+,ODOSat,ODO,Bat,ADCP Temp,Press,Bat,Level,Hs,Ts,Vel Mag
m/d/y,F,µS/cm,,NTU+,%,mg/L,V,F,psi,V,ft,ft,sec,ft/s
6/2/2010 6:00,,,,,,,14.2,,,,,,,
6/2/2010 6:30,,,,,,,14.5,,,,,,,
6/2/2010 7:00,,,,,,,14.3,,,,,,,
6/2/2010 7:30,,,,,,,14.5,,,,,,,
6/2/2010 8:00,,,,,,,14.5,,,,,,,
6/2/2010 8:30,,,,,,,14.5,,,,,,,
6/2/2010 9:00,,,,,,,14.5,,,,,,,
6/2/2010 9:30,,,,,,,14.5,,,,,,,
6/2/2010 10:00,,,,,,,14.4,,,,,,,
6/2/2010 10:30,,,,,,,14.3,,,,,,,
6/2/2010 11:00,,,,,,,14.2,,,,,,,
6/2/2010 11:30,,,,,,,14.1,,,,,,,
6/2/2010 12:00,,,,,,,14.2,,,,,,,
6/2/2010 12:30,,,,,,,14.2,,,,,,,
6/2/2010 13:00,,,,,,,14.1,,,,,,,
6/2/2010 13:30,,,,,,,14.2,,,,,,,
6/2/2010 14:00,,,,,,,14.5,,,,,,,
6/2/2010 14:30,,,,,,,14.4,,,,,,,
6/2/2010 15:00,,,,,,,14.4,,,,,,,
6/2/2010 15:30,,,,,,,14.2,,,,,,,
6/2/2010 16:00,,,,,,,13.9,,,,,,,
6/2/2010 16:30,,,,,,,13.9,,,,,,,
6/2/2010 17:00,,,,,,,13.9,,,,,,,
6/2/2010 17:30,,,,,,,13.9,,,,,,,
6/2/2010 18:00,,,,,,,13.8,,,,,,,
6/2/2010 18:30,,,,,,,13.8,,,,,,,
6/2/2010 19:00,,,,,,,13.8,,,,,,,
6/2/2010 19:30,,,,,,,13.8,,,,,,,
6/2/2010 20:00,,,,,,,13.8,,,,,,,
6/2/2010 20:30,,,,,,,13.8,,,,,,,
6/2/2010 21:00,,,,,,,13.8,,,,,,,
6/2/2010 21:30,,,,,,,13.8,,,,,,,
6/2/2010 22:00,,,,,,,13.8,,,,,,,
6/2/2010 22:30,,,,,,,13.8,,,,,,,
6/2/2010 23:00,,,,,,,13.8,,,,,,,
6/2/2010 23:30,,,,,,,13.8,,,,,,,
6/3/2010 0:00,,,,,,,13.8,,,,,,,
6/3/2010 0:30,,,,,,,13.8,,,,,,,
6/3/2010 1:00,,,,,,,13.8,,,,,,,
6/3/2010 1:30,,,,,,,13.8,,,,,,,
6/3/2010 2:00,,,,,,,13.8,,,,,,,
6/3/2010 2:30,,,,,,,13.8,,,,,,,
6/3/2010 3:00,,,,,,,13.8,,,,,,,
6/3/2010 3:30,,,,,,,13.8,,,,,,,
6/3/2010 4:00,,,,,,,13.9,,,,,,,
6/3/2010 4:30,,,,,,,14.1,,,,,,,
6/3/2010 5:00,,,,,,,14.3,,,,,,,
6/3/2010 5:30,,,,,,,14.7,,,,,,,
6/3/2010 6:00,,,,,,,15.2,,,,,,,
