location,parameter,Units,times,value_mean,value_std
beach2_buoy,ADCP Temp,F,5/20/2011,9.0335,0.12278672138048258
beach2_buoy,ADCP Temp,F,5/21/2011,9.951875,0.6086282317376397
beach2_buoy,ADCP Temp,F,5/22/2011,10.658958333333333,0.21359376418634307
beach2_buoy,ADCP Temp,F,5/23/2011,11.6875,0.6602981273798043
beach2_buoy,ADCP Temp,F,5/24/2011,12.391041666666666,0.25836836298762933
beach2_buoy,ADCP Temp,F,5/25/2011,11.152291666666665,0.5875634491164227
beach2_buoy,ADCP Temp,F,5/26/2011,11.168125000000002,0.4576705878918567
beach2_buoy,ADCP Temp,F,5/27/2011,11.731041666666668,0.096121368
beach2_buoy,ADCP Temp,F,5/28/2011,11.686666666666667,0.1715428528228726
beach2_buoy,ADCP Temp,F,5/29/2011,12.967708333333334,0.5815066256490631
beach2_buoy,ADCP Temp,F,5/30/2011,13.683750000000002,0.11442037089870027
beach2_buoy,ADCP Temp,F,5/31/2011,14.319999999999999,0.6539179578908749
beach2_buoy,ADCP Temp,F,6/1/2011,17.654583333333335,0.696862141
beach2_buoy,ADCP Temp,F,6/2/2011,16.68104166666667,0.1620774648429858
beach2_buoy,ADCP Temp,F,6/3/2011,16.110625,0.11847266046052753
beach2_buoy,ADCP Temp,F,6/4/2011,15.795208333333333,0.084349566
beach2_buoy,ADCP Temp,F,6/5/2011,16.072916666666668,0.37501182014468115
beach2_buoy,ADCP Temp,F,6/6/2011,16.681041666666665,0.050497086
beach2_buoy,ADCP Temp,F,6/7/2011,16.913333333333334,0.206514472
beach2_buoy,ADCP Temp,F,6/8/2011,17.655,0.417846556
beach2_buoy,ADCP Temp,F,6/9/2011,18.745833333333334,0.21059018721287662
beach2_buoy,ADCP Temp,F,6/10/2011,18.39319149,0.3209910359237282
beach2_buoy,ADCP Temp,F,6/11/2011,17.948333333333334,0.23149222985290932
beach2_buoy,ADCP Temp,F,6/12/2011,18.43854166666667,0.040317336080802645
beach2_buoy,ADCP Temp,F,6/13/2011,18.25583333333333,0.16701169959442372
beach2_buoy,ADCP Temp,F,6/14/2011,18.064791666666668,0.21225225441334283
beach2_buoy,ADCP Temp,F,6/15/2011,16.968260869565217,0.40563423232609935
beach2_buoy,ADCP Temp,F,6/16/2011,15.707291666666668,0.11547753918722704
beach2_buoy,ADCP Temp,F,6/17/2011,16.129791666666666,0.32648019446191096
beach2_buoy,ADCP Temp,F,6/18/2011,16.9375,0.14646908031855002
beach2_buoy,ADCP Temp,F,6/19/2011,16.411041666666666,0.6429891616946096
beach2_buoy,ADCP Temp,F,6/20/2011,14.480833333333335,0.22622558251532307
beach2_buoy,ADCP Temp,F,6/21/2011,14.705744680851064,0.196941226
beach2_buoy,ADCP Temp,F,6/22/2011,15.217916666666667,0.8166536762608461
beach2_buoy,ADCP Temp,F,6/23/2011,16.816875,0.2694845848826283
beach2_buoy,ADCP Temp,F,6/24/2011,17.698333333333334,0.5012339383889594
beach2_buoy,ADCP Temp,F,6/25/2011,17.759583333333335,0.13147216084788876
beach2_buoy,ADCP Temp,F,6/26/2011,17.547708333333333,0.11618473154408636
beach2_buoy,ADCP Temp,F,6/27/2011,17.812916666666666,0.20756909470827634
beach2_buoy,ADCP Temp,F,6/28/2011,18.318541666666665,0.5367157399042699
beach2_buoy,ADCP Temp,F,6/29/2011,18.94,0.16614528377040322
beach2_buoy,ADCP Temp,F,6/30/2011,18.870208333333334,0.4261229948472447
beach2_buoy,ADCP Temp,F,7/1/2011,19.591874999999998,0.058296974484466316
beach2_buoy,ADCP Temp,F,7/2/2011,19.589148936170215,0.22275771383934678
beach2_buoy,ADCP Temp,F,7/3/2011,20.347446808510636,0.35120579923103346
beach2_buoy,ADCP Temp,F,7/4/2011,20.969583333333333,0.17256461427329445
beach2_buoy,ADCP Temp,F,7/5/2011,21.64770833333333,0.2628423974295675
beach2_buoy,ADCP Temp,F,7/6/2011,22.182708333333334,0.22760304735025574
beach2_buoy,ADCP Temp,F,7/7/2011,22.262916666666666,0.11027930369156141
beach2_buoy,ADCP Temp,F,7/8/2011,21.953958333333333,0.057639362
beach2_buoy,ADCP Temp,F,7/9/2011,22.099148936170213,0.081955178
beach2_buoy,ADCP Temp,F,7/10/2011,22.286875,0.2633673613439524
beach2_buoy,ADCP Temp,F,7/11/2011,22.709374999999998,0.22860731220040018
beach2_buoy,ADCP Temp,F,7/12/2011,23.044255319148935,0.17514893886720803
beach2_buoy,ADCP Temp,F,7/13/2011,23.330425531914894,0.10778314474198734
beach2_buoy,ADCP Temp,F,7/14/2011,23.11375,0.11530948181196482
beach2_buoy,ADCP Temp,F,7/15/2011,22.612708333333334,0.072895716
beach2_buoy,ADCP Temp,F,7/16/2011,22.44666666666667,0.14142637109010525
beach2_buoy,ADCP Temp,F,7/17/2011,22.53833333333333,0.16265527224363752
beach2_buoy,ADCP Temp,F,7/18/2011,23.200208333333332,0.18757681641593316
beach2_buoy,ADCP Temp,F,7/19/2011,23.564791666666665,0.046539371725101183
beach2_buoy,ADCP Temp,F,7/20/2011,23.95489361702128,0.2400894067201675
beach2_buoy,ADCP Temp,F,7/21/2011,24.734166666666667,0.5148221479031658
beach2_buoy,ADCP Temp,F,7/22/2011,25.23375,0.13361782592249874
beach2_buoy,ADCP Temp,F,7/23/2011,25.30510638297872,0.10385760193703276
beach2_buoy,ADCP Temp,F,7/24/2011,25.35729166666667,0.046344665
beach2_buoy,ADCP Temp,F,7/25/2011,25.377291666666665,0.13122563941439366
beach2_buoy,ADCP Temp,F,7/26/2011,25.396666666666665,0.1153594444267123
beach2_buoy,ADCP Temp,F,7/27/2011,24.951666666666668,0.1548552286620356
beach2_buoy,ADCP Temp,F,7/28/2011,24.561702127659576,0.12772795732466447
beach2_buoy,ADCP Temp,F,7/29/2011,24.92770833333333,0.4609806364296876
beach2_buoy,ADCP Temp,F,7/30/2011,24.943125,0.1877657690915831
beach2_buoy,ADCP Temp,F,7/31/2011,25.26125,0.165563191
beach2_buoy,ADCP Temp,F,8/1/2011,25.459166666666665,0.19207526598034055
beach2_buoy,ADCP Temp,F,8/2/2011,25.387659574468085,0.13077050534956344
beach2_buoy,ADCP Temp,F,8/3/2011,25.347659574468082,0.079924224
beach2_buoy,ADCP Temp,F,8/4/2011,39.69166666666667,23.890187562359277
beach2_buoy,Bat,V,5/20/2008,13.76388888888889,0.6270806636551314
beach2_buoy,Bat,V,5/21/2008,13.56875,0.6401981907224159
beach2_buoy,Bat,V,5/22/2008,13.691666666666668,0.6565005009909877
beach2_buoy,Bat,V,5/23/2008,13.779166666666667,0.6623486044062179
beach2_buoy,Bat,V,5/24/2008,13.779166666666667,0.640796822
beach2_buoy,Bat,V,5/25/2008,13.779166666666667,0.6307571719204453
beach2_buoy,Bat,V,5/26/2008,13.697916666666666,0.5325528975158089
beach2_buoy,Bat,V,5/27/2008,13.635416666666666,0.5818128613856518
beach2_buoy,Bat,V,5/28/2008,13.797916666666666,0.6755579516957002
beach2_buoy,Bat,V,5/29/2008,13.7875,0.6443287782398716
beach2_buoy,Bat,V,5/30/2008,13.633333333333333,0.5203653926271157
beach2_buoy,Bat,V,5/31/2008,13.633333333333333,0.5658107846017351
beach2_buoy,Bat,V,6/1/2008,13.752083333333333,0.6014130818625926
beach2_buoy,Bat,V,6/2/2008,13.754166666666668,0.5838093296045668
beach2_buoy,Bat,V,6/3/2008,13.477083333333333,0.4776892889081667
beach2_buoy,Bat,V,6/4/2008,13.625,0.5245058464676282
beach2_buoy,Bat,V,6/5/2008,13.643749999999999,0.48549437404983636
beach2_buoy,Bat,V,6/6/2008,13.69375,0.4870258195785627
beach2_buoy,Bat,V,6/7/2008,13.691666666666668,0.5135745956024563
beach2_buoy,Bat,V,6/8/2008,13.69375,0.5301169080214408
beach2_buoy,Bat,V,6/9/2008,13.7125,0.5139024661167241
beach2_buoy,Bat,V,6/10/2008,13.608333333333334,0.49544020114217796
beach2_buoy,Bat,V,6/11/2008,13.706249999999999,0.5079815082913529
beach2_buoy,Bat,V,6/12/2008,13.69375,0.4986817729156531
beach2_buoy,Bat,V,6/13/2008,13.641666666666666,0.4958694634908411
beach2_buoy,Bat,V,6/14/2008,13.581249999999999,0.48009584592724397
beach2_buoy,Bat,V,6/15/2008,13.710416666666667,0.5112519399467262
beach2_buoy,Bat,V,6/16/2008,13.679166666666667,0.5283286909432032
beach2_buoy,Bat,V,6/17/2008,13.105882352941176,0.024253563
beach2_buoy,Bat,V,6/18/2008,,
beach2_buoy,Bat,V,6/19/2008,,
beach2_buoy,Bat,V,6/20/2008,,
beach2_buoy,Bat,V,6/21/2008,,
beach2_buoy,Bat,V,6/22/2008,,
beach2_buoy,Bat,V,6/23/2008,,
beach2_buoy,Bat,V,6/24/2008,,
beach2_buoy,Bat,V,6/25/2008,,
beach2_buoy,Bat,V,6/26/2008,,
beach2_buoy,Bat,V,6/27/2008,,
beach2_buoy,Bat,V,6/28/2008,,
beach2_buoy,Bat,V,6/29/2008,,
beach2_buoy,Bat,V,6/30/2008,,
beach2_buoy,Bat,V,7/1/2008,13.466666666666667,0.34374542839175376
beach2_buoy,Bat,V,7/2/2008,13.666666666666666,0.4930725782031342
beach2_buoy,Bat,V,7/3/2008,13.570833333333333,0.45614402976091356
beach2_buoy,Bat,V,7/4/2008,13.747916666666667,0.5287438278230712
beach2_buoy,Bat,V,7/5/2008,13.697916666666666,0.49313999709777084
beach2_buoy,Bat,V,7/6/2008,13.733333333333334,0.5133674115979509
beach2_buoy,Bat,V,7/7/2008,13.69375,0.4773179724340064
beach2_buoy,Bat,V,7/8/2008,13.65625,0.49375084163677274
beach2_buoy,Bat,V,7/9/2008,13.589583333333332,0.5133285552877017
beach2_buoy,Bat,V,7/10/2008,13.722916666666668,0.5352428692453691
beach2_buoy,Bat,V,7/11/2008,13.679166666666667,0.5238800956420557
beach2_buoy,Bat,V,7/12/2008,13.620833333333332,0.48111498750888515
beach2_buoy,Bat,V,7/13/2008,13.575000000000001,0.5004253509914277
beach2_buoy,Bat,V,7/14/2008,13.714583333333332,0.5295480141505399
beach2_buoy,Bat,V,7/15/2008,13.700000000000001,0.4985084134674878
beach2_buoy,Bat,V,7/16/2008,13.689583333333333,0.5070731968368608
beach2_buoy,Bat,V,7/17/2008,13.69375,0.4887701674567957
beach2_buoy,Bat,V,7/18/2008,13.689583333333333,0.4794676051592674
beach2_buoy,Bat,V,7/19/2008,13.643749999999999,0.48109195387691295
beach2_buoy,Bat,V,7/20/2008,13.668750000000001,0.49514934347167033
beach2_buoy,Bat,V,7/21/2008,13.69375,0.4965439064814207
beach2_buoy,Bat,V,7/22/2008,13.597916666666668,0.47152517738483696
beach2_buoy,Bat,V,7/23/2008,13.591666666666667,0.5189323464015757
beach2_buoy,Bat,V,7/24/2008,13.716666666666667,0.5211825070680701
beach2_buoy,Bat,V,7/25/2008,13.697916666666666,0.5130175988575731
beach2_buoy,Bat,V,7/26/2008,13.658333333333333,0.48895604524782965
beach2_buoy,Bat,V,7/27/2008,13.689583333333333,0.515396804
beach2_buoy,Bat,V,7/28/2008,13.689583333333333,0.5219601286367817
beach2_buoy,Bat,V,7/29/2008,13.677083333333334,0.49389445996958964
beach2_buoy,Bat,V,7/30/2008,13.481250000000001,0.41290679490242854
beach2_buoy,Bat,V,7/31/2008,13.685416666666667,0.5057076707218803
beach2_buoy,Bat,V,8/1/2008,13.639583333333334,0.4711866339059613
beach2_buoy,Bat,V,8/2/2008,13.679166666666667,0.5169296974025935
beach2_buoy,Bat,V,8/3/2008,13.691666666666665,0.512330235
