location,parameter,Units,times,value_mean,value_std
beach2_tower,AirTemp,F,6/11/2007,67.53421052631579,3.006994186074818
beach2_tower,AirTemp,F,6/12/2007,67.29166666666667,3.321333879822783
beach2_tower,AirTemp,F,6/13/2007,69.34861111111111,3.17503342
beach2_tower,AirTemp,F,6/14/2007,69.65,3.9444038432089803
beach2_tower,AirTemp,F,6/15/2007,66.36597222222223,3.4529841800209207
beach2_tower,AirTemp,F,6/16/2007,68.55138888888888,2.863173116536992
beach2_tower,AirTemp,F,6/17/2007,71.56597222222223,2.407423344586934
beach2_tower,AirTemp,F,6/18/2007,74.86875,6.441902476557873
beach2_tower,AirTemp,F,6/19/2007,73.44583333333334,5.736216376818285
beach2_tower,AirTemp,F,6/20/2007,65.86597222222223,1.6992866950430334
beach2_tower,AirTemp,F,6/21/2007,67.7875,2.213084895625281
beach2_tower,AirTemp,F,6/22/2007,63.333333333333336,2.2532649194452876
beach2_tower,AirTemp,F,6/23/2007,61.73819444444444,3.7177329080923753
beach2_tower,AirTemp,F,6/24/2007,67.10347222222222,4.478017999296142
beach2_tower,AirTemp,F,6/25/2007,72.50833333333334,2.912296092685035
beach2_tower,AirTemp,F,6/26/2007,77.24791666666667,2.1536428319367515
beach2_tower,AirTemp,F,6/27/2007,76.32083333333334,1.9587663807268643
beach2_tower,AirTemp,F,6/28/2007,71.68333333333334,2.070843211928822
beach2_tower,AirTemp,F,6/29/2007,66.90763889,2.733989115572981
beach2_tower,AirTemp,F,6/30/2007,67.25486111111111,3.2845650873049914
beach2_tower,AirTemp,F,7/1/2007,62.31805555555555,1.9257058565219805
beach2_tower,AirTemp,F,7/2/2007,63.28402777777777,4.4893450110894335
beach2_tower,AirTemp,F,7/3/2007,66.76458333333333,3.9305592895504566
beach2_tower,AirTemp,F,7/4/2007,69.92430555555556,2.0360130561281298
beach2_tower,AirTemp,F,7/5/2007,70.97986111111112,2.249897584650053
beach2_tower,AirTemp,F,7/6/2007,70.35902777777778,1.905619705177679
beach2_tower,AirTemp,F,7/7/2007,73.07638888888889,4.110297253489525
beach2_tower,AirTemp,F,7/8/2007,78.32569444444444,3.4017014773416054
beach2_tower,AirTemp,F,7/9/2007,79.62708333333333,2.0264067461147284
beach2_tower,AirTemp,F,7/10/2007,80.22291666666666,1.8901925291363306
beach2_tower,AirTemp,F,7/11/2007,71.27777777777777,4.045829147249501
beach2_tower,AirTemp,F,7/12/2007,69.50902777777777,4.7451987246358724
beach2_tower,AirTemp,F,7/13/2007,66.36458333333333,1.8666176265203178
beach2_tower,AirTemp,F,7/14/2007,68.78888888888889,4.685852999958325
beach2_tower,AirTemp,F,7/15/2007,66.24375,2.1580138093623544
beach2_tower,AirTemp,F,7/16/2007,69.74166666666666,4.619879512853829
beach2_tower,AirTemp,F,7/17/2007,69.57708333333333,3.827791613497748
beach2_tower,AirTemp,F,7/18/2007,70.59861111111111,3.645612097849643
beach2_tower,AirTemp,F,7/19/2007,69.84097222222222,2.4229500944225397
beach2_tower,AirTemp,F,7/20/2007,66.69999999999999,2.966762262413066
beach2_tower,AirTemp,F,7/21/2007,66.51388888888889,3.2238319532960302
beach2_tower,AirTemp,F,7/22/2007,69.37430555555555,5.269675041105467
beach2_tower,AirTemp,F,7/23/2007,69.31597222222223,3.7904123287052354
beach2_tower,AirTemp,F,7/24/2007,67.39305555555556,2.9588235419059346
