times,Barometric_Pressure,Units
9/1/2015 0:10,29.2,atm
9/1/2015 0:20,29.2,atm
9/1/2015 0:30,29.2,atm
9/1/2015 0:40,29.2,atm
9/1/2015 0:50,29.2,atm
9/1/2015 1:00,29.2,atm
9/1/2015 1:10,29.2,atm
9/1/2015 1:20,29.2,atm
9/1/2015 1:30,29.2,atm
9/1/2015 1:40,29.2,atm
9/1/2015 1:50,29.2,atm
9/1/2015 2:00,29.2,atm
9/1/2015 2:10,29.2,atm
9/1/2015 2:20,29.2,atm
9/1/2015 2:30,29.2,atm
9/1/2015 2:40,29.2,atm
9/1/2015 2:50,29.2,atm
9/1/2015 3:00,29.3,atm
9/1/2015 3:10,29.3,atm
9/1/2015 3:20,29.3,atm
9/1/2015 3:30,29.3,atm
9/1/2015 3:40,29.3,atm
9/1/2015 3:50,29.3,atm
9/1/2015 4:00,29.3,atm
9/1/2015 4:10,29.3,atm
9/1/2015 4:20,29.3,atm
9/1/2015 4:30,29.3,atm
9/1/2015 4:40,29.3,atm
9/1/2015 4:50,29.3,atm
9/1/2015 5:00,29.3,atm
9/1/2015 5:10,29.3,atm
9/1/2015 5:20,29.3,atm
9/1/2015 5:30,29.3,atm
9/1/2015 5:40,29.3,atm
9/1/2015 5:50,29.3,atm
9/1/2015 6:00,29.3,atm
9/1/2015 6:10,29.3,atm
9/1/2015 6:20,29.3,atm
9/1/2015 6:30,29.3,atm
9/1/2015 6:40,29.3,atm
9/1/2015 6:50,29.3,atm
9/1/2015 7:00,29.3,atm
9/1/2015 7:10,29.3,atm
9/1/2015 7:20,29.3,atm
9/1/2015 7:30,29.3,atm
9/1/2015 7:40,29.3,atm
9/1/2015 7:50,29.3,atm
9/1/2015 8:00,29.3,atm
9/1/2015 8:10,29.3,atm
9/1/2015 8:20,29.3,atm
9/1/2015 8:30,29.3,atm
9/1/2015 8:40,29.3,atm
9/1/2015 8:50,29.3,atm
9/1/2015 9:00,29.3,atm
9/1/2015 9:10,29.3,atm
9/1/2015 9:20,29.3,atm
9/1/2015 9:30,29.3,atm
9/1/2015 9:40,29.3,atm
9/1/2015 9:50,29.3,atm
9/1/2015 10:00,29.3,atm
9/1/2015 10:10,29.3,atm
9/1/2015 10:20,29.3,atm
9/1/2015 10:30,29.3,atm
9/1/2015 10:40,29.3,atm
9/1/2015 10:50,29.3,atm
9/1/2015 11:00,29.3,atm
9/1/2015 11:10,29.3,atm
9/1/2015 11:20,29.3,atm
