,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Temp,Sp Cond,pH,Turb+,ODOSat,ODO,Bat,ADCP Temp,Press,Bat,Level,Hs,Ts,Vel Mag
m/d/y,F,µS/cm,,NTU+,%,mg/L,V,F,psi,V,ft,ft,sec,ft/s
5/20/2008 6:00,,,,,,,12.9,,,,,,,
5/20/2008 6:30,55.76,58,4.24,2.73,95.6,10.04,13,,,,,,,
5/20/2008 7:00,51.04,0,7.09,1.57,94.7,10.56,13.5,,,,,,,
5/20/2008 7:30,51.93,196,7.92,67.4,94.1,10.35,14,,,,,,,
5/20/2008 8:00,52.56,293,8.29,25.9,94.2,10.28,14.2,,,,,,,
5/20/2008 8:30,52.97,292,8.28,22,94.5,10.26,14.1,,,,,,,
5/20/2008 9:00,53.23,291,8.28,19.6,94.7,10.25,14.2,,,,,,,
5/20/2008 9:30,53.56,292,8.28,19.07,95.1,10.25,14.4,,,,,,,
5/20/2008 10:00,54.23,292,8.29,18.07,96.1,10.26,14.5,,,,,,,
5/20/2008 10:30,54.73,292,8.29,18.77,96.6,10.26,14.4,,,,,,,
5/20/2008 11:00,54.78,292,8.29,19,96.8,10.28,14.4,,,,,,,
5/20/2008 11:30,55.35,292,8.3,22.33,97.4,10.26,14.4,,,,,,,
5/20/2008 12:00,55.76,292,8.3,27.47,97.8,10.24,14.4,,,,,,,
5/20/2008 12:30,56.21,292,8.3,28.43,97.9,10.21,14.5,,,,,,,
5/20/2008 13:00,56.72,293,8.31,32.07,97.8,10.13,14.6,,,,,,,
5/20/2008 13:30,56.91,293,8.32,36.63,97.5,10.07,14.5,,,,,,,
5/20/2008 14:00,56.86,292,8.33,36.93,96.9,10.02,14.5,,,,,,,
5/20/2008 14:30,56.83,292,8.34,39.1,96.5,9.98,14.5,,,,,,,
5/20/2008 15:00,56.6,291,8.34,41.93,96.3,9.98,14.5,,,,,,,
5/20/2008 15:30,56.33,290,8.34,43.53,96,10,14.3,,,,,,,
5/20/2008 16:00,56.04,288,8.34,42.13,95.8,10.01,14.1,,,,,,,
5/20/2008 16:30,55.83,288,8.33,41.67,95.7,10.03,13.5,,,,,,,
5/20/2008 17:00,55.57,288,8.33,41.87,95.4,10.02,13.4,,,,,,,
5/20/2008 17:30,55.39,288,8.32,38.3,95.1,10.02,13.2,,,,,,,
5/20/2008 18:00,55.28,288,8.32,39.7,94.8,10,13.2,,,,,,,
5/20/2008 18:30,55.13,289,8.31,39.23,94.5,9.99,13.2,,,,,,,
5/20/2008 19:00,55.04,289,8.32,38.03,94.3,9.98,13.2,,,,,,,
5/20/2008 19:30,54.91,289,8.32,41.3,94,9.96,13.1,,,,,,,
5/20/2008 20:00,54.82,290,8.3,47.97,93.7,9.94,13.1,,,,,,,
5/20/2008 20:30,54.68,290,8.31,47.43,93.5,9.94,13.1,,,,,,,
5/20/2008 21:00,54.56,290,8.3,43.53,93.4,9.93,13.1,,,,,,,
5/20/2008 21:30,54.5,290,8.3,39.2,93.3,9.94,13.1,,,,,,,
