times,Temp,Units
2008-05-20 06:00:00,,F
2008-05-20 06:30:00,55.76,F
2008-05-20 07:00:00,51.04,F
2008-05-20 07:30:00,51.93,F
2008-05-20 08:00:00,52.56,F
2008-05-20 08:30:00,52.97,F
2008-05-20 09:00:00,53.23,F
2008-05-20 09:30:00,53.56,F
2008-05-20 10:00:00,54.23,F
2008-05-20 10:30:00,54.73,F
2008-05-20 11:00:00,54.78,F
2008-05-20 11:30:00,55.35,F
2008-05-20 12:00:00,55.76,F
2008-05-20 12:30:00,56.21,F
2008-05-20 13:00:00,56.72,F
2008-05-20 13:30:00,56.91,F
2008-05-20 14:00:00,56.86,F
2008-05-20 14:30:00,56.83,F
2008-05-20 15:00:00,56.6,F
2008-05-20 15:30:00,56.33,F
2008-05-20 16:00:00,56.04,F
2008-05-20 16:30:00,55.83,F
2008-05-20 17:00:00,55.57,F
2008-05-20 17:30:00,55.39,F
2008-05-20 18:00:00,55.28,F
2008-05-20 18:30:00,55.13,F
2008-05-20 19:00:00,55.04,F
2008-05-20 19:30:00,54.91,F
2008-05-20 20:00:00,54.82,F
2008-05-20 20:30:00,54.68,F
2008-05-20 21:00:00,54.56,F
2008-05-20 21:30:00,54.5,F
2008-05-20 22:00:00,54.39,F
2008-05-20 22:30:00,54.22,F
2008-05-20 23:00:00,54.18,F
2008-05-20 23:30:00,54.19,F
2008-05-21 00:00:00,53.95,F
2008-05-21 00:30:00,53.9,F
2008-05-21 01:00:00,53.72,F
2008-05-21 01:30:00,53.36,F
2008-05-21 02:00:00,53.15,F
2008-05-21 02:30:00,53.15,F
2008-05-21 03:00:00,53.08,F
2008-05-21 03:30:00,53.14,F
2008-05-21 04:00:00,53.17,F
2008-05-21 04:30:00,53.32,F
2008-05-21 05:00:00,53.28,F
2008-05-21 05:30:00,53.19,F
2008-05-21 06:00:00,53.13,F
2008-05-21 06:30:00,53.1,F
2008-05-21 07:00:00,53.12,F
2008-05-21 07:30:00,53.11,F
2008-05-21 08:00:00,53.16,F
2008-05-21 08:30:00,53.27,F
2008-05-21 09:00:00,53.4,F
2008-05-21 09:30:00,53.4,F
2008-05-21 10:00:00,53.4,F
